Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
simple,,Crazy cat and the stars,1,0,visible,Teaching phonics is recognised educationally as an essential part of the teaching of reading and writing. This reading scheme teaches children how to sound out words and blend sounds to read words and to segment the sounds in the words in order to accurately spell them.,Teaching phonics is recognised educationally as an essential part of the teaching of reading and writing. This reading scheme teaches children how to sound out words and blend sounds to read words and to segment the sounds in the words in order to accurately spell them.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Crazy-cat-and-the-stars.jpg,,,,,,,,,0,Tác giả,Gill Munton,1,1,Nhà xuất bản,Macmillan Education,1,1,Năm xuất bản,,1,1,Giá sách,Giá 6-4,1,1,Vị Trí Sách,Thứ tự 025,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Daisy plays hide-and-seek,1,0,visible,"Daisy is a very special cow. Like a chameleon, she can take on the colours of the things around her, which makes her extremely good at playing hide and seek. Will her friend Jake be able to find her? Will you?
","Daisy is a very special cow. Like a chameleon, she can take on the colours of the things around her, which makes her extremely good at playing hide and seek. Will her friend Jake be able to find her? Will you?
",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Daisy-plays-hide-and-seek.jpg,,,,,,,,,0,Tác giả,Ellie Sandall,1,1,Nhà xuất bản,Egmont,1,1,Năm xuất bản,,1,1,Giá sách,Giá 6-1,1,1,Vị Trí Sách,Thứ tự 031,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Dear dragon goes camping,1,0,visible,A boy and his pet dragon go exploring and have fun on a family camping trip.,A boy and his pet dragon go exploring and have fun on a family camping trip.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Dear-dragon-goes-camping.jpg,,,,,,,,,0,Tác giả,Margaret Hillert,1,1,Nhà xuất bản,Norwood House,1,1,Năm xuất bản,,1,1,Giá sách,Giá 6-3,1,1,Vị Trí Sách,Thứ tự 007,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Dick and Jane: we play and pretend,1,0,visible,"Dick, Jane, and Sally are dressed up for a game of make-believe. Spot and Puff are there too. Where will they go after they take a ride in their pretend car?","Dick, Jane, and Sally are dressed up for a game of make-believe. Spot and Puff are there too. Where will they go after they take a ride in their pretend car?",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Dick-and-Jane-we-play-and-pretend.jpg,,,,,,,,,0,Tác giả,Grosset & Dunlap ,1,1,Nhà xuất bản,Grosset & Dunlap,1,1,Năm xuất bản,,1,1,Giá sách,Giá 6-2,1,1,Vị Trí Sách,Thứ tự 043,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Discovering nature's alphabet,1,0,visible,"If you stand in just the right place, at just the right time, you are going to see some pretty amazing things. Like the three tall branches leaning against one another, creating the letter A. Or the spines of a cactus forming the letter F. And it looks like that bent, twisting tree trunk makes the bars of the letter K with that straight trunk in the foreground. Discovering Nature's Alphabet is more than an ABC book: it's a hiking game and alphabet hunt.","If you stand in just the right place, at just the right time, you are going to see some pretty amazing things. Like the three tall branches leaning against one another, creating the letter A. Or the spines of a cactus forming the letter F. And it looks like that bent, twisting tree trunk makes the bars of the letter K with that straight trunk in the foreground. Discovering Nature's Alphabet is more than an ABC book: it's a hiking game and alphabet hunt.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Discovering-nature_s-alphabet.jpg,,,,,,,,,0,Tác giả,Krystina Castella,1,1,Nhà xuất bản,Heydey,1,1,Năm xuất bản,,1,1,Giá sách,Giá 4-2,1,1,Vị Trí Sách,Thứ tự 052,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Discovering nature's alphabet,1,0,visible,"If you stand in just the right place, at just the right time, you are going to see some pretty amazing things. Like the three tall branches leaning against one another, creating the letter A. Or the spines of a cactus forming the letter F. And it looks like that bent, twisting tree trunk makes the bars of the letter K with that straight trunk in the foreground. Discovering Nature's Alphabet is more than an ABC book: it's a hiking game and alphabet hunt.","If you stand in just the right place, at just the right time, you are going to see some pretty amazing things. Like the three tall branches leaning against one another, creating the letter A. Or the spines of a cactus forming the letter F. And it looks like that bent, twisting tree trunk makes the bars of the letter K with that straight trunk in the foreground. Discovering Nature's Alphabet is more than an ABC book: it's a hiking game and alphabet hunt.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Discovering-nature_s-alphabet.jpg,,,,,,,,,0,Tác giả,Krystina Castella,1,1,Nhà xuất bản,Heydey,1,1,Năm xuất bản,,1,1,Giá sách,Giá 4-2,1,1,Vị Trí Sách,Thứ tự 053,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Dragon's apple picking day,1,0,visible,"Dragon is picking apples from a tree in his backyard! He wants to give one apple to each of his four friends. Dragon picks three apples from the tree, but the last apple is out of his reach. Will he find a way to get the fourth apple?","Dragon is picking apples from a tree in his backyard! He wants to give one apple to each of his four friends. Dragon picks three apples from the tree, but the last apple is out of his reach. Will he find a way to get the fourth apple?",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Dragon_s-apple-picking-day.jpg,,,,,,,,,0,Tác giả,Janie Stevens,1,1,Nhà xuất bản,Scholastic,1,1,Năm xuất bản,,1,1,Giá sách,Giá 5-4,1,1,Vị Trí Sách,Thứ tự 035,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Dragon's fall fair,1,0,visible,"It's the first day of fall! Beaver suggests that Dragon celebrate the season with a Fall Fair. But Dragon has never been to a Fall Fair! Dragon and his friends find their own creative ways to go on a hay ride and make a fun house. At the end of the day, Beaver says he's never been to a Fall Fair like Dragon's!","It's the first day of fall! Beaver suggests that Dragon celebrate the season with a Fall Fair. But Dragon has never been to a Fall Fair! Dragon and his friends find their own creative ways to go on a hay ride and make a fun house. At the end of the day, Beaver says he's never been to a Fall Fair like Dragon's!",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Dragon_s-fall-fair.jpg,,,,,,,,,0,Tác giả,Mara Conlon,1,1,Nhà xuất bản,Scholastic,1,1,Năm xuất bản,,1,1,Giá sách,Giá 6-2,1,1,Vị Trí Sách,Thứ tự 038,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Drum city,1,0,visible,"What begins with one boy's beat on a kettle soon spreads to pots and pans and cartons and cans all across the neighborhood. When everyone joins in, together they create the catchy, driving tempo of a bright, hot DRUM CITY!","What begins with one boy's beat on a kettle soon spreads to pots and pans and cartons and cans all across the neighborhood. When everyone joins in, together they create the catchy, driving tempo of a bright, hot DRUM CITY!",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Drum-city.jpg,,,,,,,,,0,Tác giả,Thea Guidone,1,1,Nhà xuất bản,Dragonfly Books,1,1,Năm xuất bản,,1,1,Giá sách,Giá 4-3,1,1,Vị Trí Sách,Thứ tự 018,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Drum city,1,0,visible,"What begins with one boy's beat on a kettle soon spreads to pots and pans and cartons and cans all across the neighborhood. When everyone joins in, together they create the catchy, driving tempo of a bright, hot DRUM CITY!","What begins with one boy's beat on a kettle soon spreads to pots and pans and cartons and cans all across the neighborhood. When everyone joins in, together they create the catchy, driving tempo of a bright, hot DRUM CITY!",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-06-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Drum-city.jpg,,,,,,,,,0,Tác giả,Thea Guidone,1,1,Nhà xuất bản,Dragonfly Books,1,1,Năm xuất bản,,1,1,Giá sách,Giá 6-1,1,1,Vị Trí Sách,Thứ tự 016,1,1,Giá trị sách,"500\,000đ",1,1
