Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
simple,,A blue ribbon for Sugar,1,0,visible,"Bonnie dreams of riding: racing around barrels at the rodeo, jumping fences in the steeplechase, lassoing cattle on the range. When Sugar, Bonnie's beloved plastic pony, pops a spring and her dad takes her for riding lessons on a real horse, her dreams come true. She learns how to walk, trot, jump, and how to tack, groom, and care for a horse. Then comes Bonnie's first horse show, with a blue ribbon for her - and a surprise for Sugar, too. Carefully researched, full of information, and lovingly illustrated with bright, energetic watercolors, A Blue Ribbon for Sugar is the perfect primer for every young rider.","Bonnie dreams of riding: racing around barrels at the rodeo, jumping fences in the steeplechase, lassoing cattle on the range. When Sugar, Bonnie's beloved plastic pony, pops a spring and her dad takes her for riding lessons on a real horse, her dreams come true. She learns how to walk, trot, jump, and how to tack, groom, and care for a horse. Then comes Bonnie's first horse show, with a blue ribbon for her - and a surprise for Sugar, too. Carefully researched, full of information, and lovingly illustrated with bright, energetic watercolors, A Blue Ribbon for Sugar is the perfect primer for every young rider.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 7-9 tuổi, Sách truyện thiếu nhi","7-9 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/A-blue-ribbon-for-Sugar.jpg,,,,,,,,,0,Tác giả,Elaine Clayton,1,1,Nhà xuất bản,Roaring Brook Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 14-1,1,1,Vị Trí Sách,Thứ tự 058,1,1,Giá trị sách,"500\,000đ",1,1
simple,,"Alfred Zector, book collector",1,0,visible,"In his warm, weathered house, stuffed in crannies and nooks, were heaps, rows, and stacks of beloved bound books.
 The only thing that brings Alfred Zector joy is collecting books. And so he sets out on a mission to collect every last one, until his home on the hill is stretched at the seams with books big and small. But what happens when the rest of the townspeople have nothing left to read? In this clever rhyming story, Alfred Zector discovers what it means to find true joy in a good book.","In his warm, weathered house, stuffed in crannies and nooks, were heaps, rows, and stacks of beloved bound books.
 The only thing that brings Alfred Zector joy is collecting books. And so he sets out on a mission to collect every last one, until his home on the hill is stretched at the seams with books big and small. But what happens when the rest of the townspeople have nothing left to read? In this clever rhyming story, Alfred Zector discovers what it means to find true joy in a good book.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 7-9 tuổi, Sách truyện thiếu nhi","7-9 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Alfred-Zector-book-collector.jpg,,,,,,,,,0,Tác giả,Kelly DiPucchio,1,1,Nhà xuất bản,Harper Collins,1,1,Năm xuất bản,,1,1,Giá sách,Giá 17-2,1,1,Vị Trí Sách,Thứ tự 009,1,1,Giá trị sách,"500\,000đ",1,1
simple,,All you need to teach poetry: ages 8-10,1,0,visible,"This practical title contains essential information, text models, lesson banks and worksheets to engage students as they discover, explore and write poetry.","This practical title contains essential information, text models, lesson banks and worksheets to engage students as they discover, explore and write poetry.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách học và hoạt động > Tiếng Anh (10-12 tuổi), Sách học và hoạt động","10-12 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/All-you-need-to-teach-poetry-ages-8-10.jpg,,,,,,,,,0,Tác giả,Amelia Walker,1,1,Nhà xuất bản,Macmillan Education,1,1,Năm xuất bản,,1,1,Giá sách,Giá 28-2R,1,1,Vị Trí Sách,Thứ tự 012,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Animal numbers,1,0,visible,Join Thomas Flintham on a vibrantly colorful animal adventure that will have the littlest readers counting from one to ten.,Join Thomas Flintham on a vibrantly colorful animal adventure that will have the littlest readers counting from one to ten.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Animal-numbers.jpg,,,,,,,,,0,Tác giả,Thomas Flintham,1,1,Nhà xuất bản,Little Simon,1,1,Năm xuất bản,,1,1,Giá sách,Giá 4-5,1,1,Vị Trí Sách,Thứ tự 017,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Animal tales,1,0,visible,"Animal Tales Animals, and their stories, have always held a special fascination for young children. They are drawn towards their pictures, cartoons, sketches, etc. This series of Animal Tales strives to bank upon this fascination to communicate to the children the different moral values and lessons that they should adapt and follow in their daily lives. It is imperative for the young minds to inculcate a healthy attitude and positive feelings in their hearts to enable them to grow up into mature, sensible and responsible adults. Each of the six books contains four moral based stories presented in simple language for easy understanding along.","Animal Tales Animals, and their stories, have always held a special fascination for young children. They are drawn towards their pictures, cartoons, sketches, etc. This series of Animal Tales strives to bank upon this fascination to communicate to the children the different moral values and lessons that they should adapt and follow in their daily lives. It is imperative for the young minds to inculcate a healthy attitude and positive feelings in their hearts to enable them to grow up into mature, sensible and responsible adults. Each of the six books contains four moral based stories presented in simple language for easy understanding along.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 7-9 tuổi, Sách truyện thiếu nhi","7-9 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Animal-tales.jpg,,,,,,,,,0,Tác giả,Young Learner Publications,1,1,Nhà xuất bản,Young Learner Publications,1,1,Năm xuất bản,,1,1,Giá sách,Giá 10-2,1,1,Vị Trí Sách,Thứ tự 080,1,1,Giá trị sách,"500\,000đ",1,1
simple,,"Anytime, anywhere",1,0,visible,"At the end of a busy day, a little boy surprises and amuses his father with a rather unusual list of people and things he wants to pray for. From the littlest ladybug to the mailman who broke his leg, this boy's prayer celebrates the wonder of one child's imagination - and every child's ability to care deeply about others.","At the end of a busy day, a little boy surprises and amuses his father with a rather unusual list of people and things he wants to pray for. From the littlest ladybug to the mailman who broke his leg, this boy's prayer celebrates the wonder of one child's imagination - and every child's ability to care deeply about others.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 7-9 tuổi, Sách truyện thiếu nhi","7-9 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Anytime-anywhere.jpg,,,,,,,,,0,Tác giả,Marcus Hummon,1,1,Nhà xuất bản,Atheneum Books for Young Readers,1,1,Năm xuất bản,,1,1,Giá sách,Giá 18-3,1,1,Vị Trí Sách,Thứ tự 010,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Arrow to the sun,1,0,visible,"With vibrant colors and bold geometric forms, Gerald McDermott brilliantly captures the stylized look of Pueblo Indian art in this Caldecott Award-winning retelling of an ancient legend. A young boy searches for his father, but before he can claim his heritage he must first prove his worthiness by passing through the four ceremonial chambers: the kiva of lions, the kiva of snakes, the kiva of bees, and the kiva of lightning. Striking in its simplicity and grace, Arrow to the Sun vividly evokes the Native American reverence for the source of all life - the Solar Fire.","With vibrant colors and bold geometric forms, Gerald McDermott brilliantly captures the stylized look of Pueblo Indian art in this Caldecott Award-winning retelling of an ancient legend. A young boy searches for his father, but before he can claim his heritage he must first prove his worthiness by passing through the four ceremonial chambers: the kiva of lions, the kiva of snakes, the kiva of bees, and the kiva of lightning. Striking in its simplicity and grace, Arrow to the Sun vividly evokes the Native American reverence for the source of all life - the Solar Fire.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 7-9 tuổi, Sách truyện thiếu nhi","7-9 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Arrow-to-the-sun.jpg,,,,,,,,,0,Tác giả,Gerald McDermott,1,1,Nhà xuất bản,Puffin Books,1,1,Năm xuất bản,,1,1,Giá sách,Giá 10-1,1,1,Vị Trí Sách,Thứ tự 087,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Bad hare day,1,0,visible,"When a Holly, a young hare, spends the day with her uncle at his hairdressing salon, she promises to be very good. But her uncle disappears to take a delivery at the back door, and Holly's irrepressible curiosity and fabulous sense of fun result in some very unusual hair designs. A bright and vibrant picture book perfect for young readers who will love the humor and all the well-tressed animals.","When a Holly, a young hare, spends the day with her uncle at his hairdressing salon, she promises to be very good. But her uncle disappears to take a delivery at the back door, and Holly's irrepressible curiosity and fabulous sense of fun result in some very unusual hair designs. A bright and vibrant picture book perfect for young readers who will love the humor and all the well-tressed animals.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 7-9 tuổi, Sách truyện thiếu nhi","7-9 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bad-hare-day.jpg,,,,,,,,,0,Tác giả,Miriam Moss,1,1,Nhà xuất bản,Bloomsbury USA Childrens,1,1,Năm xuất bản,,1,1,Giá sách,Giá 10-2,1,1,Vị Trí Sách,Thứ tự 075,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Bam bam bam,1,0,visible,An exuberant celebration of construction and the noise and confusion that accompany it.,An exuberant celebration of construction and the noise and confusion that accompany it.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 3-6 tuổi, Sách truyện thiếu nhi","3-6 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Bam-bam-bam.jpg,,,,,,,,,0,Tác giả,Eve Merriam,1,1,Nhà xuất bản,Henry Holt and Co.,1,1,Năm xuất bản,,1,1,Giá sách,Giá 4-5,1,1,Vị Trí Sách,Thứ tự 005,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Beauty and the beast,1,0,visible,"Come be our guest in the Beast's castle where teapots talk, spoons dance, and beautiful Belle discovers that things are never quite as they seem.","Come be our guest in the Beast's castle where teapots talk, spoons dance, and beautiful Belle discovers that things are never quite as they seem.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 7-9 tuổi, Sách truyện thiếu nhi","7-9 tuổi,sach-thang-08-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/07/Beauty-and-the-beast.jpg,,,,,,,,,0,Tác giả,Disney,1,1,Nhà xuất bản,Disney,1,1,Năm xuất bản,,1,1,Giá sách,Giá 11-3,1,1,Vị Trí Sách,Thứ tự 045,1,1,Giá trị sách,"500\,000đ",1,1
