Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
simple,,Chickenpox (head-to-toe),1,0,visible,An introduction to chickenpox and its prevention.,An introduction to chickenpox and its prevention.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Cơ thể, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Chickenpox-(head-to-toe).jpg,,,,,,,,,0,Tác giả,Elaine Landau,1,1,Nhà xuất bản,Cavendish Square Publishing,1,1,Năm xuất bản,,1,1,Giá sách,Giá 25-6,1,1,Vị Trí Sách,Thứ tự 067,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Colds,1,0,visible,"Introduces readers to the common cold, its symptoms, treatments, and prevention.","Introduces readers to the common cold, its symptoms, treatments, and prevention.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Cơ thể, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Colds.jpg,,,,,,,,,0,Tác giả,Jason Glaser,1,1,Nhà xuất bản,"Capstone Press
",1,1,Năm xuất bản,,1,1,Giá sách,Giá 25-6,1,1,Vị Trí Sách,Thứ tự 062,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Comets and asteroids: space rocks,1,0,visible,"Out among the planets and moons of our solar system, much smaller chunks of rock and ice orbit the sun. We call them comets and asteroids. Most asteroids orbit the sun between Mars and Jupiter. Comets come hurtling in from the deepest reaches of the solar system. Students will be absolutely engrossed by this books presentation of our galaxys most active, far traveling, and smallest inhabitants.","Out among the planets and moons of our solar system, much smaller chunks of rock and ice orbit the sun. We call them comets and asteroids. Most asteroids orbit the sun between Mars and Jupiter. Comets come hurtling in from the deepest reaches of the solar system. Students will be absolutely engrossed by this books presentation of our galaxys most active, far traveling, and smallest inhabitants.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Vũ trụ, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Comets-and-asteroids-space-rocks.jpg,,,,,,,,,0,Tác giả,Greg Roza,1,1,Nhà xuất bản,Gareth Stevens Publishing,1,1,Năm xuất bản,,1,1,Giá sách,Giá 26-6,1,1,Vị Trí Sách,Thứ tự 069,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Constellations,1,0,visible,Did you know there are 88 constellations in the night sky? Which one looks like a hunter? Find out more in Constellations.,Did you know there are 88 constellations in the night sky? Which one looks like a hunter? Find out more in Constellations.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Vũ trụ, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Constellations.jpg,,,,,,,,,0,Tác giả,Martha Rustad,1,1,Nhà xuất bản,Capstone Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 26-6,1,1,Vị Trí Sách,Thứ tự 044,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Constellations,1,0,visible,Did you know there are 88 constellations in the night sky? Which one looks like a hunter? Find out more in Constellations.,Did you know there are 88 constellations in the night sky? Which one looks like a hunter? Find out more in Constellations.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Vũ trụ, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Constellations.jpg,,,,,,,,,0,Tác giả,Martha Rustad,1,1,Nhà xuất bản,Capstone Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 26-6,1,1,Vị Trí Sách,Thứ tự 043,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Coral: reef builders,1,0,visible,"Most people know that coral reefs are beautiful, but how much do we really know about the architects of these amazing, rich habitats? Students will take a close look at the anatomy of coral, how more coral are born, and how these creatures make impressive reef structures and beautiful habitats for underwater life.","Most people know that coral reefs are beautiful, but how much do we really know about the architects of these amazing, rich habitats? Students will take a close look at the anatomy of coral, how more coral are born, and how these creatures make impressive reef structures and beautiful habitats for underwater life.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Trái đất của chúng ta, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Coral-reef-builders.jpg,,,,,,,,,0,Tác giả,Lynn George,1,1,Nhà xuất bản,PowerKids Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-6,1,1,Vị Trí Sách,Thứ tự 046,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Counting money,1,0,visible,Basic math skills for early learners! Pebbles hallmark close photo text match makes beginning math concepts clear. Equations and labels are also shown when appropriate.,Basic math skills for early learners! Pebbles hallmark close photo text match makes beginning math concepts clear. Equations and labels are also shown when appropriate.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Cuộc sống thường ngày, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Counting-money.jpeg,,,,,,,,,0,Tác giả,Marianne Penn,1,1,Nhà xuất bản,Capstone Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 26-3,1,1,Vị Trí Sách,Thứ tự 083,1,1,Giá trị sách,"500\,000đ",1,1
simple,,"Crust and spray: gross stuff in your eyes, ears, nose, and throat",1,0,visible,"Learn all about the nasty stuff in your eyes, ears, nose, and throat and find out how it can actually help you by flushing germs out of your body and keeping you in good health.","Learn all about the nasty stuff in your eyes, ears, nose, and throat and find out how it can actually help you by flushing germs out of your body and keeping you in good health.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Cơ thể, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Crust-and-spray-gross-stuff-in-your-eyes-ears-nose-and-throat.jpg,,,,,,,,,0,Tác giả,C. S. Larsen,1,1,Nhà xuất bản,Millbrook Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 25-6,1,1,Vị Trí Sách,Thứ tự 055,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Delicious dairy,1,0,visible,"In this interesting new book Slim explores the essential nutritional value of the dairy group. Children will learn about why dairy products are so important for healthy bones and teeth, how milk is brought to market, the difference between whole milk and fat-free milk, how cheese and yogurt is made, what kinds of animals produce milk, different dairy products used around the world, and how much dairy a person needs to consume each day.","In this interesting new book Slim explores the essential nutritional value of the dairy group. Children will learn about why dairy products are so important for healthy bones and teeth, how milk is brought to market, the difference between whole milk and fat-free milk, how cheese and yogurt is made, what kinds of animals produce milk, different dairy products used around the world, and how much dairy a person needs to consume each day.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Cuộc sống thường ngày, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Delicious-dairy.jpg,,,,,,,,,0,Tác giả,John Burstein,1,1,Nhà xuất bản,Crabtree Publishing,1,1,Năm xuất bản,,1,1,Giá sách,Giá 26-3,1,1,Vị Trí Sách,Thứ tự 062,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Deserts,1,0,visible,This title describes the deserts of the world and the wildlife and other features that make them unique.,This title describes the deserts of the world and the wildlife and other features that make them unique.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách tham khảo > Trái đất của chúng ta, Sách tham khảo","10-12 tuổi,sach-thang-10-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/09/Deserts.jpg,,,,,,,,,0,Tác giả,Leon Gray,1,1,Nhà xuất bản,Wayland,1,1,Năm xuất bản,,1,1,Giá sách,Giá 27-6,1,1,Vị Trí Sách,Thứ tự 007,1,1,Giá trị sách,"500\,000đ",1,1
