Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
Freddie and the fairy,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Freddie-and-the-fairy.jpg,4-2,060,Julia Donaldson,Sách truyện thiếu nhi,3-6 tuổi,"Macmillan Children's Books
","Freddie is desperate for a pet, so when he rescues Bessie-Belle and she offers to grant his wishes he knows just what to ask for. The only problem is that Bessie-Belle can't hear very well, and Freddie tends to mumble. Whatever can they do? Luckily the Fairy Queen is on hand to explain...

Illustrated by Karen George, Freddie and the Fairy is a delightful tale full of Julia Donaldson's trademark rhyme and wit, with a subtle message about those who are hard of hearing.",3-6 tuổi
Frozen: The essential guide,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Frozen-The-essential-guide.jpg,4-2,062,Disney,Sách truyện thiếu nhi,3-6 tuổi,DK Children,"The essential sing-along companion to the world of Frozen. Frozen: The Essential Collection takes you deep into the world of Disney's award-winning movie, Frozen. A beautiful slipcase houses an Essential Guide with all the lyrics and a fun sticker book. Find out about your favorite characters, explore Arendelle, and delve into the key scenes of the movie. With stunning images, more than 130 full-color re-usable stickers, and a sound chip that plays a clip from ""Let It Go,"" this is a must for every Frozen fan!",3-6 tuổi
Funny bunnies up and down,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Funny-bunnies-up-and-down.jpg,4-3,064,David Melling,Sách truyện thiếu nhi,3-6 tuổi,Hachette Children's,"This bright, bold rhyming story from the creator of the bestselling Hugless Douglas is a wonderfully funny introduction to opposites for the very young and great to read aloud.

Follow these hilarious pogo-stick loving bunnies through their crazy day. These bunnies go up and these bunnies go down. Sometimes they're funny and sometimes they frown!",3-6 tuổi
Geronimo Stilton: A Christmas tale,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-A-Christmas-tale.jpg,22-4,18,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"It was Christmastime on Mouse Island, and I couldn't wait to celebrate with my friends and family. But then I discovered that they were all traveling out of town for the holidays, and I'd be spending Christmas alone! I was starting to feel like a real grinch. Would this be my loneliest Christmas ever?",10-12 tuổi
Geronimo Stilton: A fabumouse school adventure,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-A-fabumouse-school-adventure.jpg,22-4,23,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"When my nephew, Benjamin, invited me to Career Day at his school, things did not turn out the way I expected. I caused a volcanic explosion, got tangled in the tunnel slide on the playground, and accidentally let the class's pet gecko out of its cage! Rat munching rattlesnakes -how was I going to get myself out of this mess?",10-12 tuổi
Geronimo Stilton: Cat and mouse in a haunted house,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-Cat-and-mouse-in-a-haunted-house.jpg,22-4,22,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"I was lost in a dark, spooky forest! Until I stumbled upon Curlypaw Cannycat's Castle. The castle was completely empty, or so I thought. But I quickly discovered that it was haunted - by cats! Let me tell you, this was one case where curiosity almost killed the mouse!",10-12 tuổi
Geronimo Stilton: Field trip to Niagara falls,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-Field-trip-to-Niagara-falls.jpg,22-4,20,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"Holey cheese, what an adventure! I was off to Niagara Falls with my nephew Benjamin's class. It was a beautiful place -- truly one of the most amazing sights I'd ever seen. But unfortunately, I was surrounded by mischievous young mouselets who were determined to send me over the Falls in a barrel! Oh, would I ever make it back to Mouse Island alive?",10-12 tuổi
Geronimo Stilton: Geronimo and the gold medal mystery,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-Geronimo-and-the-gold-medal-mystery.jpg,22-4,26,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"I, Geronimo Stilton, am not a sportsmouse. Running? Sweating? Not for me. I prefer relaxing in an armchair with a nice bowl of chocolate cheesy chews. But with the Olympics coming up, sports were all anyone in New Mouse City could talk about. Rat-munching rattlesnakes!",10-12 tuổi
Geronimo Stilton: I'm not a super mouse,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-I_m-not-a-super-mouse.jpg,22-4,19,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"Geronimo has always been a 'fraidy mouse, and his super-sporty friend Bruce Hyena decides that he needs to help Geronimo learn to keep calm in extreme situations. Bruce puts Geronimo to the test through encounters with scary animals and weather in conditions ranging from the desert to the North Pole. After Bruce's crazy training, a natural weather disaster occurs on Mouse Island. Will Geronimo prove that he truly is a super mouse?",10-12 tuổi
"Geronimo Stilton: Merry Christmas, Geronimo!",https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-Merry-Christmas-Geronimo.jpg,22-4,27,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"I was so excited about Christmas, I could squeak! My favorite nephew Benjamin was going to come over, and we were planning to trim the tree and eat lots of delicious holiday Cheesy Chews. But before you could say ""cat alert,"" disaster struck! I slipped over my tail and ended up in the hospital. And then ",10-12 tuổi
Geronimo Stilton: The curse of the cheese pyramid,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-The-curse-of-the-cheese-pyramid.jpg,22-4,28,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"I'm off to Egypt! I climbed onboard a crabby old camel that would take me across the desert to the Great Cheese Pyramid. There, among mummies and hieroglyphics, I would learn the secret of the Seven Wonders of the Ancient Mouse World....",10-12 tuổi
Geronimo Stilton: The mouse island marathon,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-The-mouse-island-marathon.jpg,22-4,21,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"I admit it. I'm not much of a muscle mouse. So when I accidentally got signed up for the Mouse Island Marathon, I was so shocked that I lost my squeak! Me, run a marathon? But my friends and family were determined to help me cross that finish line. Holey cheese, I was never going to make it!",10-12 tuổi
Geronimo Stilton: The mummy with no name,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-The-mummy-with-no-name.jpg,22-4,24,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"Halloween and Egypt and mummies... oh, my! I admit it, I am a 'fraidy mouse. Halloween scares me out of my fur! But this Halloween, I was heading off on an adventure in one of my very favorite places: Egypt. I couldn't wait to see the sights and soak up some sun far away from New Mouse City. What I didn't realize was that Halloween is popular in Egypt, too -- with the mummies, that is! Oh, what's a 'fraidy mouse to do?",10-12 tuổi
Geronimo Stilton: The peculiar pumpkin thief,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-The-peculiar-pumpkin-thief.jpg,22-4,16,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"The best-selling mouse author Geronimo Stilton is back with another cheesy adventure!
Halloween is a few days away when all of the pumpkins in New Mouse City disappear! There's a thief on the loose, and the thief wants to stop Halloween. At the same time, all of the mice in New Mouse City receive an invitation for a free trip to the brand new Mystery Mouse Theme Park. Geronimo knows something strange is going on, but will he and his detective friend Hercule Poirat be able to solve the mystery in time to save Halloween?",10-12 tuổi
Geronimo Stilton: The search for sunken treasure,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-The-search-for-sunken-treasure.jpg,22-4,17,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"Holey cheese, what an adventure! I was off to the Ratlápagos Islands with my family in search of a long-lost buried treasure. But oh, how I hate traveling! Being on a ship in the middle of the sea wasn't my idea of a fabumouse time. And I was beginning to suspect that we weren't the only ones searching for the treasure",10-12 tuổi
Geronimo Stilton: The secret of cacklefur castle,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-The-secret-of-cacklefur-castle.jpg,22-4,25,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"Moldy mozzarella, it was every mouse's worst nightmare! My old friend Creepella von Cacklefur called me one night and ordered me to join her for the weekend at her family's spooky castle. And before I could say ""boo!"" she'd mouse-napped me! Now I was stuck in the gloomiest, eeriest castle I'd ever seen. Even worse, I was surrounded by Creepella's creepy family! Oh, would I ever escape back to my safe, cozy mouse hole in New Mouse City?",10-12 tuổi
Geronimo Stilton: Thea Stilton and the mountain of fire,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-Thea-Stilton-and-the-mountain-of-fire.jpg,22-4,29,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"Thea's friends the Thea Sisters take off for Australia to solve a mystery. A flock of sheep at Nicky's family's ranch is losing all its wool, and the ranch depends on the wool to stay afloat! Maybe the sheep's cure lies in an Aboriginal medicine containing a strange root. The five mouselings set off on a tour of the whole country to find out. It's a truly memorable outback adventure!",10-12 tuổi
Geronimo Stilton: Thea Stilton big trouble in the big apple,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Geronimo-Stilton-Thea-Stilton-big-trouble-in-the-big-apple.jpg,22-4,30,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"Geronimo's adventurous sister Thea narrates this fabulous adventure that's packed with action, mystery, and friendship!
The Thea Sisters are off to New York City for another fabumouse adventure! Nicky has been training to run the Big Apple Marathon, and her friends are there to support her. While in the city, they all visit Pamela's family and have a delicious dinner at the family's pizzeria. But the mouselings discover that someone has been threatening to burn the restaurant down, and Pam's family might have to close it for good to stay safe! Will the Thea Sisters catch the troublemaker before it's too late?",10-12 tuổi
"Hurry, hurry feet",https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Hurry-hurry-feet.jpg,4-3,062,Scott Foreman,Sách truyện thiếu nhi,3-6 tuổi,Scott Foreman,"This colorful, entertaining and, of course, educational textbook includes:
Old Hat, New Hat by Stan and Jan Berenstain
The Foot Book and Hurry, Hurry, Hurry by Dr Seuss
My Street Begins at My House by Ella Jenkins with illustrations by James E. Ransome
When the Elephant Walks by Keiko Kasza
Sitting in My Box by Dee Lillegard with illustrations by Jon Agee
Jump or Jiggle by Evelyn Beyer.",3-6 tuổi
I want to be a …,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/I-want-to-be-a-….jpg,6-4,063,Nat Lambert,Sách truyện thiếu nhi,3-6 tuổi,Top That! Publishing Ltd,Pop the character into the pockets for storytime fun!,3-6 tuổi
Little house sisters,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Little-house-sisters.jpg,12-3,080,Laura Ingalls Wilder,Sách truyện thiếu nhi,7-9 tuổi,HarperCollins,"Laura Ingalls Wilder's classic Little House books have been cherished by generations of readers as a captivating and rare glimpse into the life of a heartwarming American family living on the wild frontier. Some of the most touching stories in these books tell of the memories Laura has of growing up with her sisters, Mary, Carrie, and Grace as they traveled and settled throughout the Midwest. Here are some of the most special sister stories gathered together for the first time in a lavish gift book format, including gently colorized versions of Garth William's classic artwork, for sisters and Little House fans alike.",7-9 tuổi
Naughty kitty,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Naughty-kitty.jpg,6-4,062,Adam Stower,Sách truyện thiếu nhi,3-6 tuổi,Orchard Books,"Naughty Kitty is the cute, cuddly, and funny follow-up title to Adam Stower's silly doggy!
When Lily is finally allowed to have her very own kitten, strange things are afoot. Lily's brand new, teeny-tiny Kitty shouldn't be any trouble at all, but as soon as Lily leaves Kitty alone, hilarious hijinks are always around the corner. Kitty ruins the kitchen, Kitty ruins the den. And we won't talk about what Kitty did to the rug. (Ugg!) Could it be that someone or something else is to blame for Kitty's wild behavior? A loveable story that will have kids laughing out loud, Naughty Kitty is a classic tale of mistaken cat-tastophies that makes for a roaringly purr-fect read.",3-6 tuổi
Peppa's treasury of tales,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Peppa_s-treasury-of-tales.jpg,6-3,063,Ladybird,Sách truyện thiếu nhi,3-6 tuổi,Ladybird,"In this brilliant treasury, you can read 6 Peppa Pig adventures showcased around common values such as tolerance, inclusion, respect, and fun - your child won't want to put this story book down in a hurry!
Peppa Pig has fun wherever she goes! Whether she's on a class field trip, visiting the aquarium, learning how to recycle, or swimming in the pool, every day is a new adventure. Join Peppa and her family and friends in these six delightful stories.",3-6 tuổi
Pick and mix Dinosaur,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Pick-and-mix-Dinosaur.jpg,4-3,063,Igloo Books,Sách truyện thiếu nhi,3-6 tuổi,Igloo Books,"Come and join in with the dinosaur dress-up! Flip the split pages to create your own quirky characters from 5 roarsome friends. With bright illustrations and wacky rhyming text, dino fans will have hours of pick-and-mix fun.",3-6 tuổi
Potato Pals: At school,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Potato-Pals-At-school.jpg,6-3,065,Patrick Jackson,Sách truyện thiếu nhi,3-6 tuổi,Oxford University Press,"This exciting series of readers teaches everyday language in a way that is fun, simple, and successful. It is ideal for young students.
Each of these colorful books introduces a stem phrase on the left-hand page, while the right-hand page completes the everyday sentence or phrase. Each spread builds upon the previous page, reviewing the language with a picture cue. By the end of the book, the students have learned eight sentences
and can repeat each sentence by using the pictures as cues.",3-6 tuổi
Potato Pals: In the morning,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Potato-Pals-In-the-morning.jpg,6-3,064,Patrick Jackson,Sách truyện thiếu nhi,3-6 tuổi,Oxford University Press,"This exciting series of readers teaches everyday language in a way that is fun, simple, and successful. It is ideal for young students.
Each of these colorful books introduces a stem phrase on the left-hand page, while the right-hand page completes the everyday sentence or phrase. Each spread builds upon the previous page, reviewing the language with a picture cue. By the end of the book, the students have learned eight sentences
and can repeat each sentence by using the pictures as cues.",3-6 tuổi
Sing and dance in your polka-dot pants,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Sing-and-dance-in-your-polka-dot-pants.jpg,6-4,061, Eric Litwin,Sách truyện thiếu nhi,3-6 tuổi,"Little, Brown Books for Young Readers","In the second book in the popular Nut Family series, boogie down with singer-songwriter Eric Litwin - author of the first three mega-bestselling Pete the Cat books - as he invites readers to chime in and join the nutty, pun-filled fun, with a downloadable song available!

Hazel Nut wants her family to sing and dance along with her, but they are just too busy! Who can she call? Why... her super-hip, disco-dancing Grandma Nut! In the second book of the Nuts series, Eric Litwin's playful call-and-response rhymes and Scott Magoon's hilarious illustrations invite readers young and old to join in on the fun. Readers can listen to and/or download Litwin's disco-inspired performance of the book and additional songs at www.TheNutFamily.com.",3-6 tuổi
The cat in the hat,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/The-cat-in-the-hat.jpg,4-2,061,Dr. Seuss,Sách truyện thiếu nhi,3-6 tuổi,Random House Books for Young Readers,"Have a ball with Dr. Seuss and the Cat in the Hat in this classic picture book... but don't forget to clean up your mess!

A dreary day turns into a wild romp when this beloved story introduces readers to the Cat in the Hat and his troublemaking friends, Thing 1 and Thing 2. A favorite among kids, parents and teachers, this story uses simple words and basic ryhme to encourage and delight beginning readers.

Then he said ""That is that.""
And then he was gone
With a tip of his hat.",3-6 tuổi
The nutcracker,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/The-nutcracker.jpg,9-4,077,Stephanie Spinner,Sách truyện thiếu nhi,7-9 tuổi,Knopf Books for Young Readers,"Peter Malone’s exquisite illustrations capture all the magic of The Nutcracker’s most memorable scenes: the Christmas Eve party, Godfather Drosselmeyer’s spellbinding visit, and the ferocious battle between the Mouse King and the Nutcracker. Marie’s journey to the Land of Sweets, where the Sugar Plum Fairy welcomes her with exuberant dancers from around the globe—and toothsome desserts—springs to life as never before.
 
Stephanie Spinner’s lyrical text, Peter Malone’s jewel-like artwork, and a sparkling performance of Peter Ilyich Tchaikovsky’s unforgettable music make this a gift to inspire even the very youngest dancer.",7-9 tuổi
The Phython and the pepperpot,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/The-Phython-and-the-pepperpot.jpg,6-3,062,Keith Faulkner,Sách truyện thiếu nhi,3-6 tuổi,Pyramid,The hungry python was looking for food. He ate five children standing in a line. The last child saw him then shook a pepperpot in the python's face. The python tried but he couldn't prevent a sneeze.,3-6 tuổi
The value of respect: The story of Abraham Lincoln,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/The-value-of-respect-The-story-of-Abraham-Lincoln.jpg,9-4,079,Ann Donegan Johnson,Sách truyện thiếu nhi,7-9 tuổi,Value Communications,A brief biography of Abraham Lincoln emphasizing the importance of respect of his life.,7-9 tuổi
The whistle on the train,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/The-whistle-on-the-train.jpg,6-4,064,Margaret McNamara,Sách truyện thiếu nhi,3-6 tuổi,"Little, Brown Books for Young Readers","The whistle on the train goes whoo whoo whoo

 
The wheels on the train go clackety clack
 

The gates across the track go ding ding ding
 

This rollicking railroad pop-up, an homage to the favorite preschool song, “The Wheels on the Bus,” features spectacular pops on every page!",3-6 tuổi
Touch and feel: Fire engine,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Touch-and-feel-Fire-engine.jpg,4-3,061,Andy Crawford,Sách truyện thiếu nhi,3-6 tuổi,DK Children,"Perfect for the child who wants to know everything about fire trucks, this sturdy book is filled with clear and realistic photography, simple text, and fun textures that encourage tactile exploration and help develop fine motor skills while building an early language foundation.

Featuring pictures of everything related to fire engines, Touch and Feel: Fire Engine brightly displays big red trucks including textures on the pages to keep young children engaged.

With appealing touch-and-feel elements on every spread, DK's Touch and Feel series is a favorite for both parents and children, in a larger format than DK's Baby Touch and Feel books. The perfect gift for babies and toddlers who will be drawn to the shiny jacket, Touch and Feel: Fire Engine helps develop object recognition and language skills. 

",3-6 tuổi
We're going on a bear hunt,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/We_re-going-on-a-bear-hunt.jpg,6-4,065,Michael Rosen,Sách truyện thiếu nhi,3-6 tuổi,"Alladin Paperbacks
","Beloved for more than 30 years, this award-winning classic from Michael Rosen and Helen Oxenbury celebrates the joys of an afternoon outdoors with family.

We’re going on a bear hunt. We’re going to catch a big one.

Will you come too? Join a father and his four young children as they cross a field of tall, wavy grass, wade through a deep, cold river, struggle through swampy mud, find their way through a big, dark forest, fight through a whirling snowstorm, and enter finally enter a narrow, gloomy cave. What will they find there? You’ll have to read on to find out!

For more than thirty years readers have been swishy swashing and splash sploshing through this award-winning favorite. Now fans of this timeless story from Michael Rosen and Helen Oxenbury can share this entertaining paperback picture book!",3-6 tuổi
