Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
Another day in paradise,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Another-day-in-paradise.jpg,7-4,061,Jim Toomey,Sách truyện thiếu nhi,7-9 tuổi,Andrews McMeel Publishing,"""Some readers have likened the dubious regard for humans in Sherman's Lagoon to the late, lamented Far Side by Gary Larson.""""- Dallas Morning News.

Sharks have always fascinated Jim Toomey. ""I was the only one rooting for the shark in Jaws,"" he says. Now, Toomey's dim-witted Sherman is back with Another Day in Paradise. This fantastic collection of the popular strip takes a satirical, sea-floor look at modern culture through the eyes of Sherman, his sidekick sea turtle friend Fillmore, and schools of other coral reef critters in their remote tropical paradise.",7-9 tuổi
Armageddon,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Armageddon.jpg,34-1,058,James Patterson,Sách truyện người lớn,Tưởng tượng,Arrow,"In the fifth installment of James Patterson's action-packed Daniel X series, Daniel must now face an alien whose origins appear nearer to the depths of Hell than the outer reaches of the galaxy. Number Two is an unstoppable criminal that's slowly been amassing an underground army of disgusting, disgruntled, and dangerous aliens to help him enslave Earth's population. And it's all in preparation for the arrival of Number One, the most powerful alien in the universe and Daniel's arch-nemesis.

To Daniel's horror, thousands of humans defect to the alien's side, making the odds of success that much more impossible. But for the first time in his life, Daniel isn't alone in his fight. He's connected with several military and intelligence groups - including the daughter of a prominent FBI agent--and is prepared to lead the ultimate showdown against the evil that has plagued planet Earth for so long. Readers, beware - and be prepared for a truly epic battle that evokes the ancient prophecies of Armageddon!",Tưởng tượng
Baby's first library: Animals (cow),https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Baby_s-first-library-Animals-cow.jpg,3-5,023, Yoyo Books,Sách truyện thiếu nhi,0-2 tuổi, Yoyo Books,Baby book on animals.,0-2 tuổi
Because I love you,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Because-I-love-you.jpg,4-3,065,David Bedford,Sách truyện thiếu nhi,3-6 tuổi,Nosy Crow Ltd,"It's bedtime for Little Bear, but as his mummy settles him in bed, he wonders if he's had enough love that day. So Mummy Bear takes Little Bear on a journey, reminding him of everything they've done during the day and, most of all, the love they've shared. At the end of a golden day, Little Bear's mummy tucked him up. But when she bent down to give him a goodnight kiss on his little bear nose, he looked up sadly and said, ""Mummy, I don't think I've had any love today."" Little Bear's mummy hugged him tightly. ""Oh my poor little bear!"" she said. ""I'm sure I've given you lots of love today!"" ""But I don't remember any of it,"" said Little Bear. ""Then let's remember together,"" said Mummy.",3-6 tuổi
Curious George storybook collection,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Curious-George-storybook-collection.jpg,4-3,060,Margret and H. A. Rey,Sách truyện thiếu nhi,3-6 tuổi, Clarion Books,"Curious young readers will learn right along with George as he explores science, math, and technology concepts in eight full-length educational stories-The Donut Delivery, Snowy Day, The Surprise Gift, The Boat Show, Builds a Home, Lost and Found, Plays Mini Golf, and Tadpole Trouble. Each story is also paired with corresponding craft and exploration activities that will appeal to every child’s sense of curiosity. ",3-6 tuổi
Dinosaur days: A pop-up book about opposites,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Dinosaur-days-A-pop-up-book-about-opposies.jpg,6-2,066,Matt Mitter,Sách truyện thiếu nhi,3-6 tuổi,"Reader's Digest
","More than just another dinosaur book, the attractive and tactile foam pop-ups make this a stand out. At sunrise dinosaurs wake To greet the prehistoric dawn. The little ones spring up and chirp. The big ones stretch their necks and yawn. Dinosaurs' days are just like small childrens'--they wake up, eat breakfast, and then head off for a bit of playtime! Opposite concepts are presented on each spread, while rhythmic text and whimsical illustrations combine to tell a charming story. Attractive, bright foam pieces and flaps throughout add realism, dimension, and interest, bringing a totally unique and innovative pop-upp to the perpetually captivating subject of dinosaurs. Features the same foam cover application (green in color) and foam pop ups (orange in color) as the attractive Salamander Rock.",3-6 tuổi
Disney fairies: Storybook collection,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Disney-fairies-Storybook-collection.jpg,9-4,078,Disney,Sách truyện thiếu nhi,7-9 tuổi,Disney Press,"Faith, Trust, and Pixie Dust! Join Tinker Bell, Vidia, Rosetta, Silvermist, Iridessa, Fawn, and the rest of their friends in this magical storybook collection. Featuring 18 stories, including 4 original tales, and retellings of Tinker Bell, Tinker Bell and the Lost Treasure, and Tinker Bell and the Great Fairy Rescue, young readers are in for hours of pixie-dusted fun. With gilded pages and over 250 beautiful illustrations, this latest edition to the bestselling storybook collection series will make the perfect gift.",7-9 tuổi
Disney picture dictionary,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Disney-picture-dictionary.jpg,6-4,060,Disney,Sách truyện thiếu nhi,3-6 tuổi,Disney Press,"Packed with more than 800 entries, this first book of words and their meanings has been developed to help preschoolers and young grade-schoolers develop language, spelling, and vocabulary skills. Delightfully illustrated with Disney characters, each entry is organized alphabetically to help reinforce alphabet skills. Words are accompanied by simple definitions, and easy-to-read sentences that put words into context.",3-6 tuổi
First Stories: Sleeping beauty,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/First-Stories-Sleeping-beauty.jpg,9-4,076,Heather Amery,Sách truyện thiếu nhi,7-9 tuổi,"Usborne
","The fairy story as retold by Heather Amery and illustrated by Stephen Cartwright.
Retells for beginning readers the tale of Sleeping Beauty, who pricks her finger on the spinning wheel of a wicked fairy and sleeps for a hundred years.",7-9 tuổi
Fox in Socks,https://lotuscommunity.org.vn/wp-content/uploads/2022/12/Fox-in-Socks.jpg,6-3,061,Dr. Seuss,Sách truyện thiếu nhi,3-6 tuổi,Random House Books for Young Readers,"This rhyming romp includes chicks with bricks, chewy blue glue, a noodle eating poodle, and so much more! Just try to keep your tongue out of trouble! Seuss piles his the energetic rhymes into a mountain of hilarity that the whole family will enjoy. Rhyming has never been this fun!",3-6 tuổi
