Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
A wrinkle in time,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/A-wrinkle-in-time.jpg,19-2,058,Madeleine L'Engle,Sách truyện thiếu nhi,10-12 tuổi,Square Fish,"Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure - one that will threaten their lives and our universe.
Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",10-12 tuổi
Amber the ambulance,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Amber-the-ambulance.jpg,3-5,011,Brimax,Sách truyện thiếu nhi,3-6 tuổi,Brimax ,"Meet Hannah the Helicopter, Paul the Police Car, Amber the Ambulance and Finn the Fire Engine in these engaging cased board books. Each character faces an emergency situation and shows exactly what to do. The final spread shows children what they need to do in an emergency situation and how to call emergency services.",3-6 tuổi
Anne of Green Gables,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Anne-of-Green-Gables.jpg,20-4,061,L. M. Montgomery,Sách truyện thiếu nhi,10-12 tuổi,Signet Book,"This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts - elderly Matthew and his stern sister, Marilla - want to adopt a boy, not a feisty redheaded girl. But before they can send her back, Anne - who simply must have more scope for her imagination and a real home - wins them over completely. A much-loved classic that explores all the vulnerability, expectations, and dreams of a child growing up, Anne of Green Gables is also a wonderful portrait of a time, a place, a family… and, most of all, love.",10-12 tuổi
Big hero 6: fight to the finish,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Big-hero-6-I-am-Baymax.jpg,7-2,075,Random House,Sách truyện thiếu nhi,7-9 tuổi,Random House ,"Big Hero 6 features brilliant robotics prodigy Hiro Hamada, who finds himself in the grips of a criminal plot that threatens to destroy the fast-paced, high-tech city of San Fransokyo. With the help of his closest companion - a robot named Baymax - Hiro joins forces with a reluctant team of first-time crime-fighters on a mission to save their city. Boys and girls ages 5 to 8 will love this Step 3 Step into Reading reader based on the film!",7-9 tuổi
Big hero 6: I am Baymax,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Big-hero-6-the-big-battle.jpg,7-2,076,Random House,Sách truyện thiếu nhi,7-9 tuổi,Random House ,"A Step 2 Step into Reading reader about Big Hero 6 and the mysterious villain Yokai. From Walt Disney Animation Studios comes Big Hero 6, a comedy-adventure about brilliant robotics prodigy Hiro Hamada, who finds himself in the grips of a criminal plot that threatens to destroy the fast-paced, high-tech city of San Fransokyo. Boys ages 4 to 6 will love this Step 2 Step into Reading leveled reader!",7-9 tuổi
Big hero 6: the big battle,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Big-hero-6-fight-to-the-finish.jpg,7-2,074,Random House,Sách truyện thiếu nhi,7-9 tuổi,Random House ,"Big Hero 6 features brilliant robotics prodigy Hiro Hamada, who finds himself in the grips of a criminal plot that threatens to destroy the fast-paced, high-tech city of San Fransokyo. With the help of his closest companion - a robot named Baymax - Hiro joins forces with a reluctant team of first-time crime fighters on a mission to save their city. Boys and girls ages 5 to 8 will love this Step 3 Step into Reading leveled reader, which includes a set of battle cards featuring the heroes and villains of Big Hero 6!",7-9 tuổi
Biscuit's day at the farm,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Biscuit_s-day-at-the-farm.jpg,2-5,014,Alyssa Satin Capucilli,Sách truyện thiếu nhi,0-2 tuổi,HarperCollins,"Biscuit is going to help out on the farm today and can’t wait to feed all of the farm animals. He makes friends with the hens, the geese, and even an eager little piglet who wants to follow him everywhere!  ",0 - 2 tuổi
Bunny loves to write,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Bunny-loves-to-write.jpg,7-2,072,Peter Bently,Sách truyện thiếu nhi,7-9 tuổi,Parragon Books,"Buster Bunny loves to read. And when hes given a notebook and pencil, he discovers that he loves to write, too! Children are encouraged to use their imagination and creativity in this exciting picture book with a story and doodles by Buster himself.",7-9 tuổi
California diaries,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/California-diaries.jpg,7-2,079,Ann M. Martin,Sách truyện thiếu nhi,7-9 tuổi,Scholastic ,"Having moved away from California, Dawn Shafer experiences a number of unsettling changes at once, including new relationships with friends, family, and her stepfamily, and she finds herself redefining her identity. ",7-9 tuổi
Captain Underpants and the preposterous plight of the purple potty people,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Captain-Underpants-and-the-preposterous-plight-of-the-purple-potty-people.jpg,19-4,063,Dav Pilkey,Sách truyện thiếu nhi,10-12 tuổi,Scholastic,"eorge and Harold's time-traveling Purple Potty lands them in a crazy place in the eighth book in this #1 New York Times bestselling series by Dav Pilkey, the author and illustrator of Dog Man!
The teachers are nice, the cafeteria serves delicious food, and the school principal, Mr. Krupp, thinks George and Harold are hilarious. Something is very, very wrong - and it gets even wronger when the boys' pet pterodactyl, Crackers, and Sulu the Bionic Hamster are captured by George and Harold's evil-twin look-alikes. Now George and Harold must face their greatest foes yet: themselves! Can they handle this mess on their own, or will they need Captain Underpants to swoop in and save the day?",10-12 tuổi
Christmas stories,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Christmas-stories.jpg,7-5,071,Brown Watson,Sách truyện thiếu nhi,7-9 tuổi,Brown Watson,"This perfect holiday-themed lullaby is filled with good wishes and as much happiness, cheer, and joy as there is on Christmas Day.",7-9 tuổi
Daisy Jane: best-ever flower girl,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Daisy-Jane-best-ever-flower-girl.jpg,3-5,015,Megan McDonald,Sách truyện thiếu nhi,3-6 tuổi,Random House Books for Young Readers,"Daisy Jane loves her favorite babysitter, Allie. So when Allie asks Daisy Jane to be her flower girl, the obvious answer is yes. When the big day arrives, Daisy Jane shows everyone that she is the best-ever flower girl.",3-6 tuổi
DC Comics: the ultimate character guide,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/DC-Comics-the-ultimate-character-guide.jpg,19-2,062,DK,Sách truyện thiếu nhi,10-12 tuổi,DK Children,"Is Superman the strongest Super Hero alive? Where is Wonder Woman from? Is Darkseid the most evil Super-Villain ever? Who is the fastest man alive? Who are Batman's allies?

Have to know the answers to these questions? Look no further than the DC Comics Ultimate Character Guide: New Edition. Written by DC Comics experts, this illustrated encyclopedia features more than 200 incredible characters and Super Hero teams, including Batman, Harley Quinn, Justice League, and so many more.",10-12 tuổi
Dora climbs Star Mountain,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Dora-climbs-Star-Mountain.jpg,3-5,005,Alison Inches,Sách truyện thiếu nhi,3-6 tuổi,"
Simon & Schuster Children's","Dora loves her new necklace. But then Swiper swipes it and throws it all the way to the top of Star Mountain! Dora and Boots journey to the top of the mountain to get it back, and along the way they encounter fog, falling rocks, and green goo! It's a good thing the Explorer Stars are there to help! Based on a special episode.",3-6 tuổi
Fancy Nancy: the dazzling book report,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Fancy-Nancy-the-dazzling-book-report.jpg,7-5,065,Jane O'Connor,Sách truyện thiếu nhi,7-9 tuổi,HarperCollins,"Nancy's first book report is sure to be dazzling. After all, she is the second-best artist in her class. She is using beads, fringe, and a fancy border. And she is writing about Sacajawea, a true-life heroine. What could go wrong?",7-9 tuổi
