Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
Frozen: babysitting the troll tots,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Frozen-babysitting-the-troll-tots.jpg,7-2,077,Disney,Sách truyện thiếu nhi,7-9 tuổi,Disney Press,"Anna and Kristoff are asked to babysit the troll tots. But the more they try, the wilder the tots become! Will the troll tots ever go to sleep?",7-9 tuổi
Geronimo Stilton: dinosaurs in action,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Geronimo-Stilton-dinosaurs-in-action.jpg,20-4,064,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Papercutz,"The Pirate Cats have had their plans foiled by Geronimo Stilton time and time again, due to the help from Geronimo’s friend Professor Volt. The Pirate Cats decide to better their odds by getting rid of Professor Volt, kidnapping him and leaving him in the Cretaceous Period - a time when the earth was occupied by dinosaurs! Geronimo and his friends must travel back in time 140 million years to save Professor Volt from literally becoming a part of history!",10-12 tuổi
Geronimo Stilton: Geronimo Stilton saves the Olympics,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Geronimo-Stilton-Geronimo-Stilton-saves-the-Olympics.jpg,21-2,065,Geronimo Stilton,Sách truyện thiếu nhi,10-12 tuổi,Papercutz,"Just in time for the Olympics this summer! Athens, Greece: the first Olympic Games are about to take place, and the Pirate Cats have traveled back in time to enter the competition. The fiendish felines plan to win as many events as they can, and become legendary athletes. But these cats aren't exactly in playing shape! In order to gain an edge, they bring all sorts of modern-age sports gear to improve their odds of winning. It's up to Geronimo and the gang to foil their scheme and save history.",10-12 tuổi
Happy days: Merry Mister Meddle,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Happy-days-Merry-Mister-Meddle.jpg,19-4,059,Enid Blyton,Sách truyện thiếu nhi,10-12 tuổi,Award Publications,"Poor Mister Meddle is a very merry pixie always willing to help out and do good deeds, but he never quite gets it right. One day his meddling gets him into trouble with Aunt Jemima - he serves her up a treacle pudding covered in glue and gets chased home by a Biggle-Gobble.",10-12 tuổi
I can,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/I-can.jpg,2-5,013,Ben Lai,Sách truyện thiếu nhi,0-2 tuổi,Epiphany Arts ,"Embark on a journey of discovery around Singapore as you learn about the island nation's most famous landmarks and icons.

The story stars a young girl who proudly proclaims ""I can"" as she engages in fun activities and interacts with these places and objects. Let your young one build a sense of ableness and independence through these colourful pages. ",0-2 tuổi
Jack and the beanstalk,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Jack-and-the-beanstalk.jpg,7-5,062,Ladybird,Sách truyện thiếu nhi,7-9 tuổi,"Ladybird Books
","Jack got some magic beans that grew into a giant beanstalk! When Jack climbed the beanstalk, what did he find at the top of it?",7-9 tuổi
Journey to Jo'Burg,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Journey-to-Jo_Burg.jpg,19-4,062,Beverley Naidoo,Sách truyện thiếu nhi,10-12 tuổi,HarperCollins Children's Books,"This is the story of love, commitment and the flowering of the human spirit against the background of South Africa's apartheid. Frightened that their baby sister Dineo will die, thirteen-year-old Naledi and her younger brother Tiro run away from their grandmother to Johannesburg to find their mother, who works there as a maid. Their journey illustrates at every turn the grim realities of apartheid - the pass laws, bantustans, racism, the breakdown of family life. The opulence of the white ""Madam's"" house contrasts starkly with the reality that Naledi and Tiro face - that their baby sister is suffering from starvation, not an incurable disease. ",10-12 tuổi
Little women,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Little-women.jpg,7-2,073,Usborne,Sách truyện thiếu nhi,7-9 tuổi,Usborne,"A re-telling of the beloved Louisa May-Alcott story for younger children. The inspirational story follows the fortunes of the March sisters as they struggle through the American Civil War and learn the importance of love, family and following their dreams. Usborne Young Reading has been developed with reading experts from Roehampton University. Series 3 is for confident readers. Sturdy hardback and ribbon marker make this incredible value for money.",7-9 tuổi
Lola is very creative,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Lola-is-very-creative.jpg,7-5,076,Nuria Roca,Sách truyện thiếu nhi,7-9 tuổi,Gemser Publications,"Have you ever realized how many things you can make with your hands? And how many things you can invent using your imagination? There are many ways to create. You can sew, make sculptures, draw, paint, dance, style, write stories and sing... Surely, you, who are very creative, already do many of these things! To be creative, you simply need to be very curious about everything there is around you.",7-9 tuổi
Marmee's surprise,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Marmee_s-surprise.jpg,7-5,069,Monica Kulling,Sách truyện thiếu nhi,7-9 tuổi,Random House,"Each of the four March sisters is special in her own unique way. Meg is a dreamer, Jo is a tomboy, Beth is shy and thoughtful, and Amy is a bundle of energy. But despite their differences, the girls pull together to get through a difficult winter holiday. Based on the first chapter of the enduring classic Little Women, this enchanting retelling will introduce a new generation of ""little women"" to the works of Louisa May Alcott. ",7-9 tuổi
Mary had a little lamb,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Mary-had-a-little-lamb.jpg,2-5,012,Igloo Books,Sách truyện thiếu nhi,0-2 tuổi,Igloo Books,"This Mary had a little lamb sounds book is ideal for singing along to the classic song and completing all the actions that go along with it. A great way to encourage a love of reading, little ones will adore this new addition to their bookshelves.",0-2 tuổi
Mr Pink-Whistle's party,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Mr-Pink-Whistle_s-party.jpg,21-2,064,Enid Blyton,Sách truyện thiếu nhi,10-12 tuổi,Award Childrens Books,"Mr Pink-Whistle is a little fat man with pointed brownie ears and large green eyes; but really he is neither human nor brownie. Until Mr Pink-Whistle decided to use his special talent of making himself invisible, his only friend was his cat, Sooty. But things have now changed.",10-12 tuổi
My animal kingdom: tigers,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/My-animal-kingdom-tigers.jpg,23-2,083,Brown Watson,Sách tham khảo,Động vật,"Brown Watson
","Discover the amazing world of tigers with the help of two cuddly, new friends, Tina and Timothy.",Động vật
My big animal book,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/My-big-animal-book.jpg,3-5,021,Roger Priddy,Sách truyện thiếu nhi,3-6 tuổi,Priddy Books,"On the big, sturdy board pages, they'll discover bright, bold photographs of all different kinds of animals, from pets to farm animals to birds. Each has their name written underneath, so that children can learn what they're called, build their animal vocabulary, and start to develop word and picture association.

Designed in Roger Priddy's classic, timeless format, this book has enduring appeal and educational value that sustains fun, stimulating reading, again and again.",3-6 tuổi
My big rig,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/My-big-rig.jpg,3-5,012,Jonathan London,Sách truyện thiếu nhi,3-6 tuổi,Two Lions,"Zoom! While playing with his toy truck, a little boy imagines himself driving an eighteen-wheeler through a city, across a bridge, and into the countryside. Along the way, he uses his two-way radio and parks at a truck stop. Finally, he reaches the coast, where he unloads his cargo. His imagination would keep growing but... it’s time for dinner!",3-6 tuổi
My first 1000 words,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/My-first-1000-words.jpg,3-5,020,PHP,Sách truyện thiếu nhi,3-6 tuổi,Award Publications Ltd,"Featuring 1000 essential first words, all illustrated in full colour and thematically grouped to aid vocabulary building and retention, this is a key title for early learning.
Children will love studying the busy scenes, and finding pictures to match the words in this fun and educational title.",3-6 tuổi
My first book of words,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/My-first-book-of-words.jpg,3-5,009,The Book Company,Sách truyện thiếu nhi,3-6 tuổi,JG Kids ,"Learning comes to life with vivid photographs featuring playtime, mealtime, and more, helping children find the right words for the objects they see in everyday life. The cushioned cover of the board book and sturdy handle make the book fun to carry along for on-the-go engagement.",3-6 tuổi
My little book of farm stories,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/My-little-book-of-farm-stories.jpg,7-2,071,Brown Watson,Sách truyện thiếu nhi,7-9 tuổi,Brown & Watson,"Farm stories suitable for children of all ages, beautifully illustrated with clear text allowing children to easily follow along.",7-9 tuổi
My phonics readers: Pat Cat and Tat Rat,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/My-phonics-readers-Pat-Cat-and-Tat-Rat.jpg,3-5,007,Si Yiah Ling,Sách truyện thiếu nhi,3-6 tuổi,Penerbitan Pelangi,"Children who are taught the skills of decoding words through sounding out letters and letter combinations tend to be better readers. 
These twelve little graded readers can be used on their own, or as follow-up reading material to our very well-received preschool phonics programme under the “My Preschool World” series.
With captivating illustrations and easy-to-read text, this set of books will soon put children on the road to reading success.
",3-6 tuổi
Nicolai writes lovely things,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Nicolai-writes-lovely-things.jpg,7-5,073,Nuria Roca,Sách truyện thiếu nhi,7-9 tuổi,Gemser Publications,"What Nicoai likes best are tales, stories, books, words and sentences. Lola wants to be a writer, but in order to become one, she has to work a lot. Because words are never ending, stories are infinite and the imagination is always inventing something. Lola is like a lion tamer of words! And in the end, when she knows what to do with them, she will be able to invent as many imaginary worlds as she likes!",7-9 tuổi
"No tooth, no quarter",https://lotuscommunity.org.vn/wp-content/uploads/2022/10/No-tooth-no-quarter.jpg,7-5,070,Jon Buller,Sách truyện thiếu nhi,7-9 tuổi,Random House,"Poor Walter has not only lost a tooth, he's also managed to lose his lost tooth. His chances of getting his quarter look slim, and the apprentice tooth fairy assigned to pick up the tooth is in hot water in this imaginative romp for young readers.  ",7-9 tuổi
Ocean life,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Ocean-life.jpg,23-2,082,Brenda Z. Guiberson,Sách tham khảo,Động vật,Scholastic,"An overview of sharks, whales, and dolphins, covering their physical characteristics, diets, and behavior. Includes a glossary.",Động vật
Peppa Pig: little creatures,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Peppa-Pig-little-creatures.jpg,3-5,017,Ladybird,Sách truyện thiếu nhi,3-6 tuổi,"Ladybird Books
","There are many interesting little creatures in Grandpa Pig's garden for Peppa, George and their friends to learn about, including snails with their little houses and bees making honey!Read it yourself with Ladybird is one of Ladybird's best-selling series. For over thirty-five years it has helped young children who are learning to read develop and improve their reading skills.Each Read it yourself book is very carefully written to include many key, high-frequency words that are vital for learning to read, as well as a limited number of story words that are introduced and practised throughout. Simple sentences and frequently repeated words help to build the confidence of beginner readers and the four different levels of books support children all the way from very first reading practice through to independent, fluent reading.Each book has been carefully checked by educational consultants and can be read independently at home or used in a guided reading session at school. Further content includes comprehension puzzles, helpful notes for parents, carers and teachers, and book band information for use in schools.Peppa Pig: Little Creatures is a Level 1 Read it yourself title, suitable for very 7-9 tuổi who have had some initial reading instruction and are ready to take their first steps in reading real stories. Each story is told very simply, using a small number of frequently repeated words.",3-6 tuổi
Peppa Pig: nature trail,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Peppa-Pig-nature-trail.jpg,3-5,018,Ladybird,Sách truyện thiếu nhi,3-6 tuổi,"Ladybird Books
","Peppa Pig and her family are enjoying a nature walk when they get lost. Can Peppa, George, Mummy Pig and Daddy Pig get safely back to the car for their lunch?Read it yourself with Ladybird is one of Ladybird's best-selling series. For over thirty-five years it has helped young children who are learning to read develop and improve their reading skills.Each Read it yourself book is very carefully written to include many key, high-frequency words that are vital for learning to read, as well as a limited number of story words that are introduced and practised throughout. Simple sentences and frequently repeated words help to build the confidence of beginner readers and the four different levels of books support children all the way from very first reading practice through to independent, fluent reading.Each book has been carefully checked by educational consultants and can be read independently at home or used in a guided reading session at school. Further content includes comprehension puzzles, helpful notes for parents, carers and teachers, and book band information for use in schools.Peppa Pig: Nature Trail is a Level 2 Read it yourself title, ideal for children who have received some initial reading instruction and can read short, simple sentences with help.",3-6 tuổi
Peppa Pig: sports day,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Peppa-Pig-sports-day.jpg,3-5,019,Ladybird,Sách truyện thiếu nhi,3-6 tuổi,"Ladybird Books
","Peppa, George and their friends were at Sports Day. But Peppa started slowly and George could not jump!",3-6 tuổi
Phineas and Ferb: speed demons,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Phineas-and-Ferb-speed-demons.jpg,21-2,063,Disney,Sách truyện thiếu nhi,10-12 tuổi,Disney Press,Lazy summer days? Not for Phineas and Ferb. One day the duo fixes up their mom’s car and takes it to the races. The next they build the world’s craziest roller coaster! The neighborhood’s not likely to be the same after this. But will Dr. Doofenshmirtz’s plan to reverse the spin of the earth with a magnet trained at the eastern seaboard succeed and ruin things for everyone?,10-12 tuổi
Pinky and Rex and the new baby,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Pinky-and-Rex-and-the-new-baby.jpg,7-5,067,James Howe,Sách truyện thiếu nhi,7-9 tuổi,Simon Spotlight,"Rex's parents are adopting a baby, and Rex doesn't like the idea at all. Suppose her parents are so busy with the new baby they forget about her?
So she comes up with a plan. If she can be the perfect big sister, her parents will have to pay attention to her. The trouble is, being the perfect big sister is a lot of work, and it doesn't leave time for much else - like her best friend, Pinky.",7-9 tuổi
Pinky and Rex and the perfect pumpkin,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Pinky-and-Rex-and-the-perfect-pumpkin.jpg,7-5,068,James Howe,Sách truyện thiếu nhi,7-9 tuổi,Simon Spotlight,"When Rex is invited to go along on the traditional pumpkin-picking trip with Pinky's grandparents, she doesn't feel that Pinky's cousin Abby really wants her to be part of the fun.",7-9 tuổi
Planet pop-up: monkey on the moon,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Planet-pop-up-monkey-on-the-moon.jpg,3-5,022,Jonathan Litton,Sách truyện thiếu nhi,3-6 tuổi,Silver Dolphin Books,"The goofy animals of Monkey on the Moon are having a blast as they explore outer space in this rhyming pop-up book. Open up the pages to discover a moonwalking monkey, a space-surfing crocodile, and other super-fantastic, intergalactic creatures in orbit! The animals’ antics will bring smiles to the faces of young readers, and the colorful, high-quality interactive pop-ups with moving elements will entertain for hours on end.",3-6 tuổi
Prince of Persia: the sands of time,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Prince-of-Persia-the-sands-of-time.jpg,21-2,062,James Ponti,Sách truyện thiếu nhi,10-12 tuổi,Disney Press,"When a young prince (Jake Gyllenhaal) is framed for the death of his beloved father and the king of Persia, he must prove his innocence with the reluctant help of a conquered princess (Gemma Arterton) and a magic dagger that can reverse time. The junior novel is a retelling of the film and will include an eight-page full-color photo insert with pictures from the film.",10-12 tuổi
Puzzle adventure omnibus,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Puzzle-adventure-omnibus.jpg,20-4,063,Usborne,Sách truyện thiếu nhi,10-12 tuổi,Usborne Publishing,This omnibus contains the first seven titles in Usborne's 'Puzzle Adventure Series'. There are clues to help you if you get stuck along the way and answers at the end of each story.,10-12 tuổi
Soccer Sam,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Soccer-Sam.jpg,7-5,066,Jean Marzollo,Sách truyện thiếu nhi,7-9 tuổi,Random House,"In a perceptive tale of friendship and sports, this multicultural early reader shows how Sam's visiting Mexican cousin overcomes the language barrier by teaching soccer to his new friends.",7-9 tuổi
Stories of princes and princesses,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Stories-of-princes-and-princesses.jpg,7-5,063,Christopher Rawson,Sách truyện thiếu nhi,7-9 tuổi,Usborne,"Four original stories about princes and princesses for children just beginning to learn how to read. Meet clumsy princes, stubborn princesses and a rather pongy prince named Percy in these highly amusing stories. Usborne Young Reading has been developed with reading experts from Roehampton University.",7-9 tuổi
Swiss Family Robinson,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Swiss-Family-Robinson.jpg,20-4,060,Johann Wyss,Sách truyện thiếu nhi,10-12 tuổi,Signet,"Swept off course by a raging storm, a Swiss pastor, his wife, and their four young sons are shipwrecked on an uncharted tropical island. Thus begins the classic story of survival and adventure that has fired the imaginations of readers since it first appeared in 1812. With optimism and boundless enthusiasm, the Robinson family undertakes the extraordinary task of constructing a home for themselves and exploring the primitive island filled with strange and beautiful creatures and exotic fruits and plants. Rich in action and suspense, The Swiss Family Robinson is an exhilarating novel takes us to a faraway place of danger and beauty, where the courageous Robinson family embarks on a thrilling new life of adventure and discovery.",10-12 tuổi
The adventurous four: shipwrecked,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-adventurous-four-shipwrecked.jpg,19-2,063,Enid Blyton,Sách truyện thiếu nhi,10-12 tuổi,Award Publications,"When a trip at Little Island for the weekend ends in them being shipwrecked, it is at first exciting for the Adventurous Four. But imagine their surprise when they discover the hidden harbour is full of enemy submarines! They investigate more closely so as to get back to the mainland and expose this terrible enemy. But a forgotten camera leads to their capture. How can they outsmart the enemy and escape? And is there any way of getting off the island...?",10-12 tuổi
The adventurous four: stranded,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-adventurous-four-stranded.jpg,19-2,059,Enid Blyton,Sách truyện thiếu nhi,10-12 tuổi,Award Publications,"Four children set off on a short trip to Smugglers Lock and find a mysterious stranger there.When the stranger discovers them following him he takes away their boat and maroons them on the rock. Theres no chance of escape without a boat, and its completely disappeared what are the children going to do.",10-12 tuổi
The amazing adventures on turtle pond,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-amazing-adventures-on-turtle-pond.jpg,20-4,062,Margaret Wells,Sách truyện thiếu nhi,10-12 tuổi,FriesenPress,"Summer is an exciting time on Turtle Pond. What adventures will one family of turtles - Daddy Burtle, Mummy Myrtle, Hurtle, and Squirtle - have together? From a close encounter with a dangerous bird, a day out at the spa to a scary storm and a talent show at school, life on the pond is always busy! Young readers will enjoy these fun stories while they discuss interesting questions, learn important lessons, and discover new vocabulary.",10-12 tuổi
The crocodile brother and other folk tales,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-crocodile-brother-and-other-folk-tales.jpg,19-4,064,Bob Hartman,Sách truyện thiếu nhi,10-12 tuổi,Lion UK,"Part of the Storyteller Tales series, this title contains some of master storyteller Bob Hartman's best-loved folk and traditional tales. The contents are derived from The lion storyteller bedtime book and The lion storyteller book of animal tales, and this collection contains more than half a dozen folk tales from around the world.",10-12 tuổi
The doll people,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-doll-people.jpg,20-4,058,Ann M. Martin,Sách truyện thiếu nhi,10-12 tuổi,Little Brown Books for Young Readers,"The 100-year-old Doll family, beautifully crafted china dolls passed down through four generations of girls in one American family, meet their new neighbors, the Funcrafts, a doll family made completely of plastic and delivered straight from the factory shelves.
Annabelle Doll is eight years old. She has been for over 100 years. Not a lot has happened to her, cooped up in the dollhouse, with the same doll people, day after day, year after year...until the Funcrafts move in. Now Annabelle has a friend. Sure, she's made entirely of plastic and she's living in the scariest room in the house, but she's an adventurer, and after 100 years of boredom, that's just what Annabelle needs.",10-12 tuổi
The donkey tragedy: moral stories,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-donkey-tragedy-moral-stories.jpg,7-2,078,Manoj Publications,Sách truyện thiếu nhi,7-9 tuổi,Manoj Publications,This book covers all the parts in a very easy language which makes it even more interesting for the readers.,7-9 tuổi
The mystery of the banshee towers,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-mystery-of-the-banshee-towers.jpg,19-4,065,Enid Blyton,Sách truyện thiếu nhi,10-12 tuổi,Mammoth,"Ern is back visiting Mr Goon, which gives him and the Find-Outers the perfect chance to explore Banshee Towers. But there's more secrets to the towers than the screaming banshees. Fatty, Larry, Daisy, Pip, Bets and Buster the Dog have one last case to solve...",10-12 tuổi
The mystery of the spiteful letters,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-mystery-of-the-spiteful-letters.jpg,19-2,064,Enid Blyton,Sách truyện thiếu nhi,10-12 tuổi,Egmont Childrens,"An adventure for the Five Find-Outers and their dog. Fatty, Larry, Daisy, Pip, Bets and Buster become involved in a very peculiar situation when a series of unsigned letters are sent to various people in Peterswood.",10-12 tuổi
The Princess Diaries: third time lucky,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-Princess-Diaries-third-time-lucky.jpg,21-2,061,Meg Cabot,Sách truyện thiếu nhi,10-12 tuổi,Pan MacMillan,"Mia's got everything a girl could possibly want. She's a princess and she's got a boyfriend! But that's where it all goes wrong. Because Kenny is just not the guy she really wants. Michael's the one she's loved forever but he's going out with someone infinitely cleverer than Mia. Someone who can clone fruit flies, for heaven's sake! Will the story end happily ever after for the Princess of Genovia?",10-12 tuổi
