S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
1927,Crazy cat and the stars,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Crazy-cat-and-the-stars.jpg,6-4,025,Gill Munton,Sách truyện thiếu nhi,3-6 tuổi,Macmillan Education,Teaching phonics is recognised educationally as an essential part of the teaching of reading and writing. This reading scheme teaches children how to sound out words and blend sounds to read words and to segment the sounds in the words in order to accurately spell them.,3-6 tuổi
2004,Daisy plays hide-and-seek,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Daisy-plays-hide-and-seek.jpg,6-1,031,Ellie Sandall,Sách truyện thiếu nhi,3-6 tuổi,Egmont,"Daisy is a very special cow. Like a chameleon, she can take on the colours of the things around her, which makes her extremely good at playing hide and seek. Will her friend Jake be able to find her? Will you?
",3-6 tuổi
2051,Dear dragon goes camping,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Dear-dragon-goes-camping.jpg,6-3,007,Margaret Hillert,Sách truyện thiếu nhi,3-6 tuổi,Norwood House,A boy and his pet dragon go exploring and have fun on a family camping trip.,3-6 tuổi
2135,Dick and Jane: we play and pretend,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Dick-and-Jane-we-play-and-pretend.jpg,6-2,043,Grosset & Dunlap ,Sách truyện thiếu nhi,3-6 tuổi,Grosset & Dunlap,"Dick, Jane, and Sally are dressed up for a game of make-believe. Spot and Puff are there too. Where will they go after they take a ride in their pretend car?",3-6 tuổi
2180,Discovering nature's alphabet,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Discovering-nature_s-alphabet.jpg,4-2,052,Krystina Castella,Sách truyện thiếu nhi,3-6 tuổi,Heydey,"If you stand in just the right place, at just the right time, you are going to see some pretty amazing things. Like the three tall branches leaning against one another, creating the letter A. Or the spines of a cactus forming the letter F. And it looks like that bent, twisting tree trunk makes the bars of the letter K with that straight trunk in the foreground. Discovering Nature's Alphabet is more than an ABC book: it's a hiking game and alphabet hunt.",3-6 tuổi
2181,Discovering nature's alphabet,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Discovering-nature_s-alphabet.jpg,4-2,053,Krystina Castella,Sách truyện thiếu nhi,3-6 tuổi,Heydey,"If you stand in just the right place, at just the right time, you are going to see some pretty amazing things. Like the three tall branches leaning against one another, creating the letter A. Or the spines of a cactus forming the letter F. And it looks like that bent, twisting tree trunk makes the bars of the letter K with that straight trunk in the foreground. Discovering Nature's Alphabet is more than an ABC book: it's a hiking game and alphabet hunt.",3-6 tuổi
2325,Dragon's apple picking day,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Dragon_s-apple-picking-day.jpg,5-4,035,Janie Stevens,Sách truyện thiếu nhi,3-6 tuổi,Scholastic,"Dragon is picking apples from a tree in his backyard! He wants to give one apple to each of his four friends. Dragon picks three apples from the tree, but the last apple is out of his reach. Will he find a way to get the fourth apple?",3-6 tuổi
2327,Dragon's fall fair,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Dragon_s-fall-fair.jpg,6-2,038,Mara Conlon,Sách truyện thiếu nhi,3-6 tuổi,Scholastic,"It's the first day of fall! Beaver suggests that Dragon celebrate the season with a Fall Fair. But Dragon has never been to a Fall Fair! Dragon and his friends find their own creative ways to go on a hay ride and make a fun house. At the end of the day, Beaver says he's never been to a Fall Fair like Dragon's!",3-6 tuổi
2372,Drum city,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Drum-city.jpg,4-3,018,Thea Guidone,Sách truyện thiếu nhi,3-6 tuổi,Dragonfly Books,"What begins with one boy's beat on a kettle soon spreads to pots and pans and cartons and cans all across the neighborhood. When everyone joins in, together they create the catchy, driving tempo of a bright, hot DRUM CITY!",3-6 tuổi
2373,Drum city,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Drum-city.jpg,6-1,016,Thea Guidone,Sách truyện thiếu nhi,3-6 tuổi,Dragonfly Books,"What begins with one boy's beat on a kettle soon spreads to pots and pans and cartons and cans all across the neighborhood. When everyone joins in, together they create the catchy, driving tempo of a bright, hot DRUM CITY!",3-6 tuổi
