S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
2381,Duck sock hop,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Duck-sock-hop.jpg,5-4,018,Jane Kohuth,Sách truyện thiếu nhi,3-6 tuổi,Dial Books,"In this tongue-twisting, toe-tapping picture book, ducks grab socks from a big sock box and head on down to the duck sock hop. In socks with stripes and socks with spots, socks with squares and socks with dots, these brightly, boldly illustrated ducks dance until their socks go rip; and ducks teeter, tumble, twist, and trip. But not to worry; in this preschool-perfect read-aloud, when one sock hop ends, the countdown to the next one begins. So, prepare for a feel-good, giggle-inducing read.",3-6 tuổi
2621,Except the color grey,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Except-the-color-grey.jpg,4-3,045,Arlene Alda,Sách truyện thiếu nhi,3-6 tuổi,Tundra Books,"Arlene Alda has created several photo essays for very young readers, and this one, with its simple concept and clever presentation should sell as well as her very popular Did You Say Pears? A clever look at colors for the very young.",3-6 tuổi
2819,Find the cat,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Find-the-cat.jpg,6-2,025,Gwendolyn Hooks,Sách truyện thiếu nhi,3-6 tuổi,Stone Arch Books,"Kayla's cat, Daisy, is missing. Kayla is so worried. She calls her friends, and soon enough the entire Pet Club is on the case.",3-6 tuổi
2838,Firefly summer,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Firefly-summer.jpg,4-3,041,Lorien Trover Hardy,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,"Chester's mom teaches him a song about fireflies. Learn the song along with Chester. One, two, three...",3-6 tuổi
2986,Foxy,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Foxy.jpg,5-2,017,Emma Dodd,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"Foxy has a special talent: He is magically able to produce anything he needs from his bushy red tail. Sometimes Foxy comes up with the wrong solutions, such as the time he tried to give his friend Emily an eraser for school and gave her an elephant instead! Fortunately, Foxy's magic mishaps can always be fixed. And he knows that some very important things - like making new friends - don't require any magic at all.",3-6 tuổi
3214,Giant storytime books: Little mermaid,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Giant-storytime-books-Little-mermaid.jpg,4-3,001,Hayley Down,Sách truyện thiếu nhi,3-6 tuổi,Castle Street Press,An entertaining retelling of the story of the Little Mermaid.,3-6 tuổi
3252,"Go, go, grapes: a fruit chant",https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Go-go-grapes-a-fruit-chant.jpg,5-4,026,April Pulley Sayre,Sách truyện thiếu nhi,3-6 tuổi,Little Simon,"Calling all fruit fanatics! Get ready to go bananas at the market, where the aisles are filled with eye-popping displays of delicious and nutritious fruits. Ripe with raucous rhyming text and bushels of fantastic farmer's market photos, this board book celebrates the joys of healthy eating. Children will be chanting along in no time - and trying to snatch fruity snacks right off the page!",3-6 tuổi
3253,"Go, Rainbow Dash",https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Go-Rainbow-Dash.jpg,4-5,016,My Little Pony,Sách truyện thiếu nhi,3-6 tuổi,Orchard Books,"Rainbow Dash's parents are her biggest fans, Sometimes they're a bit embarrassing ... but she soon realizes how much they mean to her!",3-6 tuổi
3385,Grandparents' day,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Grandparents_-day.jpg,6-1,054,Greta Mackie,Sách truyện thiếu nhi,3-6 tuổi,Macmillan Education,How do we celebrate how much our grandparents love us? Read this book to find out.,3-6 tuổi
3569,Hatching chicks,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Hatching-chicks.jpg,4-2,048,Susan Blackaby,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,"Mrs. Shay brings to class seven eggs from her hen, and her students take care of them until they hatch.",3-6 tuổi
3884,Houndsley and Catina and the birthday surprise,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Houndsley-and-Catina-and-the-birthday-surprise.jpg,5-3,027,James Howe,Sách truyện thiếu nhi,3-6 tuổi,"Candlewick Press,U.S.","Published in beginning-reader format, this gentle story will appeal to children's compassion as well as their sense of humor. -- Booklist Houndsley is sad. Not because it's raining or because there are holes in his sweater, but because he doesn't know when his birthday is. And now Catina is sad, too. But friends are good at cheering each other up, and Houndsley and Catina are the best of friends. So it won't be long before they each discover, in a most surprising way, how a first-rate friend can brighten even the saddest days.",3-6 tuổi
3920,How do dinosaurs eat their food,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/How-do-dinosaurs-eat-their-food.jpg,4-5,001,Jane Yolen,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins Children's Books,"The popular HOW DO DINOSAURS… series continues with a hilarious look at dinosaurs at dinner time!

When dinosaurs eat their food, what do they do?
This book runs through the gamut of mealtime bad behaviour, satisfyingly concluding with impeccably behaved dinosaur dinner guests:

'Eat up. Eat up, little dinosaur.'

A sure-fire winner with parents of young children – it will be an invaluable help with meal time manners.",3-6 tuổi
3961,How many are there?,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/How-many-are-there.jpg,5-1,047,Jo Cleland,Sách truyện thiếu nhi,3-6 tuổi,Rourke Pub Group,"Introduces non-specific number words, such as ""all,"" ""few,"" ""many,"" and ""none,"" as well as size words that depend on comparison, such as ""enormous"" and ""tiny.""",3-6 tuổi
3963,How many donkeys?,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/How-many-donkeys.jpg,5-4,045,Margaret Read MacDonald,Sách truyện thiếu nhi,3-6 tuổi,Albert Whitman & Company,"Jouha is loading his donkeys with dates to sell at the market. How many donkeys are there? His son helps him count ten, but once the journey starts, things change. First there are ten donkeys, then there are nine! When Jouha stops to count again, the lost donkey is back. What's going on? Silly Jouha doesn't get it, but by the end of the story, wise readers will be counting correctly-and in Arabic!",3-6 tuổi
4202,I see the moon,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/I-see-the-moon.jpg,6-1,026,Kathi Appelt,Sách truyện thiếu nhi,3-6 tuổi,William B. Eerdmans Publishing Company,"I see the moon, and the moon sees me. Does anyone know I'm alone here at sea? A little girl dreams that she's all alone at sea in a tiny boat. It's dark, and the sea is scary. Then she sees the gentle moon, the first sign of God's love. The moon, the stars, and at last the sun lend enough light to lead her back to shore, where she realizes she was never alone at all. God has brought her safely home. Based on a traditional children's rhyme, Kathy Appelt's poetic text and Debra Reid Jenkins' imaginative and dramatic paintings, accented in gold leaf, convey a sense of mystery and wonder and make this book a perfect illustration of God's abiding love.",3-6 tuổi
4213,I spy something wonderful,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/I-spy-something-wonderful.jpg,6-1,006,David Conway,Sách truyện thiếu nhi,3-6 tuổi,Red Fox Picture Books,"Mummy Deer, Daddy Deer and Baby Deer are playing 'I spy'. There are lots of wonderful things to spot ...a cloud as soft as a whisper, a sleepy sunset, a bright shimmering star. But there is something more wonderful than all these things. Can Baby Deer guess what it is? The perfect bedtime book for all little ones who are loved by their mummy and daddy. The charming heart-shaped die-cut and gatefold wonderfully reiterate the sweet sentiments of this book. With wonderfully cute illustrations by new artist Paula Bowles.",3-6 tuổi
4223,I want my hat back,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/I-want-my-hat-back.jpg,5-2,011,Jon Klassen,Sách truyện thiếu nhi,3-6 tuổi,Candlewick Press,A picture-book delight by a rising talent tells a cumulative tale with a mischievous twist.,3-6 tuổi
4271,If I were an ant,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/If-I-were-an-ant.jpg,6-2,052,Amy Moses,Sách truyện thiếu nhi,3-6 tuổi,Children's Press,"A child imagines how much larger things such as crumbs, puddles, trees, and even babies would seem to an ant.

This series meets the following Reading First initiatives: - Phonics- Vocabulary- Comprehension- Fluency",3-6 tuổi
4272,If I were an ant,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/If-I-were-an-ant.jpg,6-2,053,Amy Moses,Sách truyện thiếu nhi,3-6 tuổi,Children's Press,"A child imagines how much larger things such as crumbs, puddles, trees, and even babies would seem to an ant.

This series meets the following Reading First initiatives: - Phonics- Vocabulary- Comprehension- Fluency",3-6 tuổi
4280,If you give a pig a party,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/If-you-give-a-pig-a-party.jpg,4-3,022,Laura Numeroff,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"If you give a pig a party, she's going to ask for some balloons. When you give her the balloons, she'll want to decorate the house. When she's finished, she'll put on her favorite dress...",3-6 tuổi
4489,It's my birthday,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/it_s-my-birthday.jpg,5-2,023,Helen Oxenbury,Sách truyện thiếu nhi,3-6 tuổi,Candlewick Press,"It's one lucky toddler's birthday, and of course there must be a cake. So the child asks some animal friends to gather ingredients, one by one: the chicken an egg, the bear some flour, the cat the butter and milk, the pig a pinch of salt, the dog some sugar, and the monkey a bunch of cherries for the top. After they all share the fun of making the cake, it's even more fun to eat it! Helen Oxenbury's winsome illustrations and simple, repetitive text make this an ideal gift for the youngest of children.",3-6 tuổi
4490,It's my birthday,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/it_s-my-birthday.jpg,5-2,024,Helen Oxenbury,Sách truyện thiếu nhi,3-6 tuổi,Candlewick Press,"It's one lucky toddler's birthday, and of course there must be a cake. So the child asks some animal friends to gather ingredients, one by one: the chicken an egg, the bear some flour, the cat the butter and milk, the pig a pinch of salt, the dog some sugar, and the monkey a bunch of cherries for the top. After they all share the fun of making the cake, it's even more fun to eat it! Helen Oxenbury's winsome illustrations and simple, repetitive text make this an ideal gift for the youngest of children.",3-6 tuổi
4519,Itsy bitsy baby mouse,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Itsy-bitsy-baby-mouse.jpg,4-3,023,Michelle Meadows,Sách truyện thiếu nhi,3-6 tuổi,Simon Schuster Books for Young Readers,"A lost little mouse must navigate a huge house to find his way home in this sweet picture book from Michelle Meadows and Matthew Cordell.

Itsy-bitsy baby mouse
Tap and tumble ’round the house
Chase a busy buzzy fly
Creap and leap and reach up high...

Baby Mouse’s curiosity lets him discover all sorts of things—but it has also led him away from his parents. Lost in a large house, this itsy-bitsy baby mouse seeks to find something familiar that could lead him home. How will he find his way? Michelle Meadows and Matthew Cordell pair up to make a path for Itsy-Bitsy Baby Mouse—and young readers—to joyfully follow.",3-6 tuổi
4521,Itsy Mitsy runs away,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Itsy-Mitsy-runs-away.jpg,4-2,001,Elanna Allen,Sách truyện thiếu nhi,3-6 tuổi,Atheneum Books for Young Readers,"NO ONE likes bedtime, and Itsy Mitsy has had quite enough. So tonight's the night she's running away to the perfect place where there are no more bedtimes ever (not even one). But running away isn't as easy as it seems. There's a lot to pack: Mitsy's friendliest dinosaur Mister Roar; a snack for Mister Roar; her dog, Pupcake, to keep the bedtime beasties away from said snack; the list goes on and on. But with a helpful Dad who makes sure Mitsy doesn't leave anything behind--especially not him--Mitsy might want to run away tomorrow night, too.",3-6 tuổi
4522,Itsy Mitsy runs away,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Itsy-Mitsy-runs-away.jpg,4-2,002,Elanna Allen,Sách truyện thiếu nhi,3-6 tuổi,Atheneum Books for Young Readers,"NO ONE likes bedtime, and Itsy Mitsy has had quite enough. So tonight's the night she's running away to the perfect place where there are no more bedtimes ever (not even one). But running away isn't as easy as it seems. There's a lot to pack: Mitsy's friendliest dinosaur Mister Roar; a snack for Mister Roar; her dog, Pupcake, to keep the bedtime beasties away from said snack; the list goes on and on. But with a helpful Dad who makes sure Mitsy doesn't leave anything behind--especially not him--Mitsy might want to run away tomorrow night, too.",3-6 tuổi
4523,Itsy Mitsy runs away,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Itsy-Mitsy-runs-away.jpg,5-2,003,Elanna Allen,Sách truyện thiếu nhi,3-6 tuổi,Atheneum Books for Young Readers,"NO ONE likes bedtime, and Itsy Mitsy has had quite enough. So tonight's the night she's running away to the perfect place where there are no more bedtimes ever (not even one). But running away isn't as easy as it seems. There's a lot to pack: Mitsy's friendliest dinosaur Mister Roar; a snack for Mister Roar; her dog, Pupcake, to keep the bedtime beasties away from said snack; the list goes on and on. But with a helpful Dad who makes sure Mitsy doesn't leave anything behind--especially not him--Mitsy might want to run away tomorrow night, too.",3-6 tuổi
4565,Jane and Mizmow,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Jane-and-Mizmow.jpeg,4-3,046,Matthew Armstrong,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"Jane loves toread books.

Mizmow loves to eat them.

Mizmow loves to climb trees.

Jane would rather keep her feet on the ground.

It’s not always easy being friends with a monster. But Jane’s best friend is Mizmow, and Mizmow’s best friend is Jane.",3-6 tuổi
4566,Jane and Mizmow,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Jane-and-Mizmow.jpeg,5-1,046,Matthew Armstrong,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"Jane loves toread books.

Mizmow loves to eat them.

Mizmow loves to climb trees.

Jane would rather keep her feet on the ground.

It’s not always easy being friends with a monster. But Jane’s best friend is Mizmow, and Mizmow’s best friend is Jane.",3-6 tuổi
4567,Jane and Mizmow,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Jane-and-Mizmow.jpeg,6-4,052,Matthew Armstrong,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"Jane loves toread books.

Mizmow loves to eat them.

Mizmow loves to climb trees.

Jane would rather keep her feet on the ground.

It’s not always easy being friends with a monster. But Jane’s best friend is Mizmow, and Mizmow’s best friend is Jane.",3-6 tuổi
4622,Jonathan and Martha,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Jonathan-and-Martha.png,6-1,010,Petr Horacek,Sách truyện thiếu nhi,3-6 tuổi,Phaidon Press,"Jonathan and Martha are two lonely worms that live on opposite sides of a tree. One day, a big juicy pear lands on the ground between them. Jonathan nibbles from the left, and Martha nibbles from the right - and soon they are caught in a tangle!",3-6 tuổi
4623,Jonathan and Martha,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Jonathan-and-Martha.png,6-1,011,Petr Horacek,Sách truyện thiếu nhi,3-6 tuổi,Phaidon Press,"Jonathan and Martha are two lonely worms that live on opposite sides of a tree. One day, a big juicy pear lands on the ground between them. Jonathan nibbles from the left, and Martha nibbles from the right - and soon they are caught in a tangle!",3-6 tuổi
4950,Let's get the tent out,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Let_s-get-the-tent-out.jpg,5-3,061,Barbara Mitchelhill,Sách truyện thiếu nhi,3-6 tuổi,Heinemann Educational Books,The New Reading 360 series is designed to provide a solid literary foundation for infants and build on previous literacy knowledge for juniors.,3-6 tuổi
5011,Little Bea,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Little-Bea.jpg,4-4,022,Daniel Roode,Sách truyện thiếu nhi,3-6 tuổi,Greenwillow Books,"Bzzzzzzzzzzzzz.
Little Bea
is a busy, busy bee.
When the sun wakes up,
so does she.

Friends! She needs to visit them.

Treats! She needs to share them.

Chores!
She needs to do them.

Games!
She needs to play them.

The whole wide world!
She needs to explore it
before the sun goes to sleep.

Bzzzzzzzzzzzzz.
Won't you come buzz along with Little Bea?",3-6 tuổi
5015,Little book day parade,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Little-book-day-parade.jpg,6-3,050,Emily Gravett,Sách truyện thiếu nhi,3-6 tuổi,Macmillan Children's Books,"All the characters from your favourite Emily Gravett books are dressing up for World Book Day. They're going as characters from their favourite books. Can you help them get ready? Matilda is going as the Cheshire Cat, and her cat wants to be the Mad Hatter -- but he needs you to design him a hat! And can you draw a long Rapunzel wig for one of the three little pigs? Join in the drawing and colouring activities with a host of favourite book characters and bring some creative fun to your World Book Day!",3-6 tuổi
5016,Little book day parade,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Little-book-day-parade.jpg,6-3,051,Emily Gravett,Sách truyện thiếu nhi,3-6 tuổi,Macmillan Children's Books,"All the characters from your favourite Emily Gravett books are dressing up for World Book Day. They're going as characters from their favourite books. Can you help them get ready? Matilda is going as the Cheshire Cat, and her cat wants to be the Mad Hatter -- but he needs you to design him a hat! And can you draw a long Rapunzel wig for one of the three little pigs? Join in the drawing and colouring activities with a host of favourite book characters and bring some creative fun to your World Book Day!",3-6 tuổi
5017,Little book day parade,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Little-book-day-parade.jpg,6-3,052,Emily Gravett,Sách truyện thiếu nhi,3-6 tuổi,Macmillan Children's Books,"All the characters from your favourite Emily Gravett books are dressing up for World Book Day. They're going as characters from their favourite books. Can you help them get ready? Matilda is going as the Cheshire Cat, and her cat wants to be the Mad Hatter -- but he needs you to design him a hat! And can you draw a long Rapunzel wig for one of the three little pigs? Join in the drawing and colouring activities with a host of favourite book characters and bring some creative fun to your World Book Day!",3-6 tuổi
5031,Little dolphin finger puppet book,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Little-dolphin-finger-puppet-book.jpg,4-5,022,Klaartje van der Put,Sách truyện thiếu nhi,3-6 tuổi,Chronicle books,"Watch Little Dolphin swim with friends in these simple, comforting stories. Each book features a permanently attached plush finger puppet and peek-a-boo holes in every page, giving parents and children a fun, interactive way to play and read together.",3-6 tuổi
5117,Little Pig joins the band,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Little-Pig-joins-the-band.jpg,4-4,023,David Hyde Costello,Sách truyện thiếu nhi,3-6 tuổi,Charlesbridge,"Little Pig has trouble keeping up with his four older—and bigger—brothers and sisters. When a visit to Grandpa's house turns into a rummage through Grandpa's old marching-band instruments, Little Pig is too small to play any of them. But when the disorganized band has a pig-pile mishap, Little Pig has a BIG idea: They could use a leader.",3-6 tuổi
5125,Little red hen,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/little-red-hen.jpg,6-4,054,Geraldine Taylor,Sách truyện thiếu nhi,3-6 tuổi,Ladybird Books,"Based on the classic fairy tale. Little Red Hen wants help planting and cutting the wheat, grinding the flour and making the bread, but the cat, the rat and the dog refuse to join in - until the bread needs eating!

Read it yourself with Ladybird is one of Ladybird's best-selling series. For over thirty-five years it has helped young children who are learning to read develop and improve their reading skills.",3-6 tuổi
5170,Living with mum and living with dad,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Living-with-mum-and-living-with-dad.jpg,4-3,011,Melanie Walsh,Sách truyện thiếu nhi,3-6 tuổi,"Candlewick Press,U.S.","For young children who live in two homes, this bright, simple story with oversized flaps reassures young readers that there is love in each one. Her parents don't live together anymore, so sometimes the child in this book lives with her mom and cat, and sometimes with Dad. Her bedroom looks a little different in each house, and she keeps some toys in one place and some in another. But her favorite toys she takes with her wherever she goes. In an inviting lift-the-flap format saturated with colorful illustrations, Melanie Walsh visits the changes in routine that are familiar to many children whose parents live apart, but whose love and involvement remain as constant as ever.",3-6 tuổi
5177,Llama Llama home with Mama,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Llama-Llama-home-with-Mama.jpg,4-3,012,Anna Dewdney,Sách truyện thiếu nhi,3-6 tuổi,Viking Books for Young Readers,"Ah-choo! Uh-oh, Llama Llama's nose is feeling tickly, his throat is feeling scratchy, and his head is feeling stuffy. Back to bed, no school today for Llama Llama! Instead, he's home with Mama. By lunchtime, though, he's beginning to feel a tiny bit better. But now someone else has the sneezes . . . Mama! And who will help her feel better? Why, Llama Llama, of course! Anna Dewdney's fun-to-read rhymes are sure to help children and their parents get through those under-the-weather days.",3-6 tuổi
5223,Look who's hiding,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/look-who_s-hiding.jpg,4-5,019,Sharon Rentta,Sách truyện thiếu nhi,3-6 tuổi,Alison Green Books,"With lots of humour along the way and a fabulous cast of animal characters, this is a delightful way to introduce children to animal sounds. ",3-6 tuổi
5251,Lost and found,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/lost-and-found.jpg,5-1,033,Adrienne Mason,Sách truyện thiếu nhi,3-6 tuổi,Kids Can Press,"Lu and Clancy search for their young charge, Sophie, when she goes missing while they are on a hike.",3-6 tuổi
5393,Maisy goes to nursery,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Maisy-goes-to-nursery.jpg,6-1,055,Lucy Cousins,Sách truyện thiếu nhi,3-6 tuổi,Walker Books Ltd,"Maisy joins her friends for a busy day at nursery in the seventh title of the popular First Experience series.

Maisy has lots of fun at nursery in this delightful pre-school story by the multi-award-winning Lucy Cousins. She and her friends sing at Music Time, nap at Quiet Time, listen at Book Time and then go into the garden for Play Time. What a day! ",3-6 tuổi
5468,Marco's run,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Marco_s-run.jpg,4-3,038,Wesley Cartier,Sách truyện thiếu nhi,3-6 tuổi,Harcourt Brace International,Marco is a fast runner. Is he as fast as a rabbit? A bobcat? A horse? Who is the fastest runner of all? This quick-moving story runs wild in the hands of award-winning illustrator Reynold Ruffins.,3-6 tuổi
5547,Max and Millie start school,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Max-and-Millie-start-school.jpg,4-2,058,Felicity Brooks,Sách truyện thiếu nhi,3-6 tuổi,Usborne Books,"This title deals with all the excitement and anxiety young children can feel when starting school. Millie thinks she knows exactly what's what, but Max isn't so sure. How do they get on on their first day?",3-6 tuổi
5548,Max and Millie start school,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Max-and-Millie-start-school.jpg,4-3,052,Felicity Brooks,Sách truyện thiếu nhi,3-6 tuổi,Usborne Books,"This title deals with all the excitement and anxiety young children can feel when starting school. Millie thinks she knows exactly what's what, but Max isn't so sure. How do they get on on their first day?",3-6 tuổi
5550,Max and Ruby: beach day,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Max-and-Ruby-beach-day.jpg,5-4,044,Rosemary Wells,Sách truyện thiếu nhi,3-6 tuổi,Penguin Young Readers,"When Ruby and Max spend a day at the beach, Ruby wants to make a sand castle while Max wants to play in the water, and they must find a way to play together.",3-6 tuổi
5580,Me and you,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Me-and-you.jpg,6-1,004,Anthony Browne,Sách truyện thiếu nhi,3-6 tuổi,"Farrar, Straus and Giroux","A small bear goes for a stroll in the park with his parents, leaving their bowls of porridge cooling on the kitchen table. Meanwhile, a girl with golden hair is hopelessly lost in a big, frightening city when she comes across a house with the door left invitingly open. Inside are three bowls of porridge in the kitchen, three chairs in the living room, and three comfortable-looking beds upstairs, and no one seems to be home . . .",3-6 tuổi
5581,Me want pet,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/me-want-pet.jpg,4-3,024,Tammi Sauer,Sách truyện thiếu nhi,3-6 tuổi,Simon & Schuster,"Cave Boy has lots of things. Rocks. Sticks. A club. But no pet! Cave Boy decides he must have a pet, but his parents object. He brings home animal after animal in hopes of overcoming his parents’ steadfast resistance, but his attempts are unsuccessful—until he finds a Dodo bird that is literally on the verge of extinction. And in a twist ending on a classic concept, Cave Boy and his family discover it’s worthwhile to have animal friends around.

With snappy text that is short, fun, and young, Me Want Pet! makes for an ideal read-aloud for the milk-and-cookies set. ",3-6 tuổi
