Chọn loại khách sạn,,Chọn Loại ks,Chọn cấp sao,,"Đánh giá, chấm điểm","Đánh giá, chấm điểm",Yêu cầu đối với loại khách sạn,H,R,M,F,Yêu cầu đối với hạng sao,1,2,3,4,5,
"- Đệm dày 20 cm, có ga bọc",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,187
- Chăn có vỏ bọc,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,188
- Gối có vỏ bọc,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,189
"- Tủ hoặc kệ đầu giường (buồng một giường đơn: 01 tủ/kệ đầu giường, buồng một giường đôi: 02 tủ/kệ đầu giường, buồng hai giườngđơn: 01 hoặc 02 tủ/kệ đầu giường)",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2(*), 3(*), 4(*),5(*)",1,x,x,x,x,190
- Ổ cắm điện an toàn ở đầu giường,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4(*), 5(*)",,,1,x,x,191
- Bảng điều khiển thiết bị điện đặt ở tủ đầu giường,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,192
- Đèn đầu giường,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1, 2(*)",1,x,,,,193
- Đèn đầu giường cho mỗi khách,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*)",,,x,x,,194
- Đèn đầu giường cho mỗi khách chỉnh được độ sáng,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5(*)",,,,1,x,195
- Đèn đủ chiếu sáng,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,196
- Điện thoại,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,197
- Tủ đựng quần áo có mắc treo quần áo,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,198
"- Mắc áo có nhiều loại để treo được các loại quần, áo",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,199
- Bàn chải quần áo,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,200
- Bàn ghế uống nước,1,Ap Dung,Bat buoc,x,,,"H, R, M",1,1,1,,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,201
- Bàn ghế uống nước,,Khong,khuyen khich,1,,,F,,,,1,"1, 2, 3, 4, 5",1,1,1,1,1,202
- Cốc uống nước,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,203
"- Tách uống trà, cà phê",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,204
- Hộp giấy ăn,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,205
- Bộ đồ ăn trái cây.,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,206
"- Dụng cụ mở bia, rượu",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,207
- Bàn làm việc cho 50 % số buồng ngủ,,Khong,Bat buoc,x,,,H,1,,,,"1, 2, 3(*)",1,1,x,,,208
- Bàn làm việc cho 50 % số buồng ngủ,,Khong,khuyen khich,1,,,R,,1,,,3,,,1,,,209
- Bàn làm việc cho 100 % số buồng ngủ,,Khong,Khong,,,,H,1,,,,"4(*), 5(*)",,,,x,x,210
- Bàn làm việc cho 100 % số buồng ngủ,,Khong,Khong,,,,R,,1,,,"4, 5(*)",,,,1,x,211
- Đèn bàn làm việc,,Khong,Bat buoc,x,,,H,1,,,,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,212
- Đèn bàn làm việc,,Khong,khuyen khich,1,,,R,,1,,,"3, 4(*), 5(*)",,,1,x,x,213
- Ổ cắm điện an toàn ở bàn làm việc,,Khong,Bat buoc,x,,,H,1,,,,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,214
- Ổ cắm điện an toàn ở bàn làm việc,,Khong,khuyen khich,1,,,R,,1,,,"3, 4(*), 5(*)",,,1,x,x,215
- Ổ cắm điện an toàn,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,216
- Gương soi,1,Ap Dung,khuyen khich,1,,,"H, R, M",1,1,1,,"3, 4, 5",,,1,1,1,217
- Gương soi cả người,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,218
"- Cặp đựng tài liệu thông tin về khách sạn và hướng dẫn khách gồm: nội quy, dịch vụ và giá dịch vụ, thời gian phục vụ khách của các dịch vụ, chính sách khuyến mại, phong bì, giấy, bút viết (thông tin về khách sạn có thể cung cấp trên màn hình)",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,219
- Đường truyền internet không dây (wifi),1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,"1, 2",,,,,,220
- Đường truyền internet không dây (wifi) tốc độ cao,1,Ap Dung,Bat buoc,x,,,"H, R, M",1,1,1,,"3(*), 4(*), 5(*)",,,x,x,x,221
- Đường truyền internet qua cáp tốc độ cao(internet cable),1,Ap Dung,khuyen khich,1,,,"H, R, M",1,1,1,,"3, 4, 5",,,1,1,1,222
- Túi kim chỉ,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,223
- Máy sấy tóc,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,224
- Sọt hoặc túi đựng đồ giặt là,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,225
- Sọt đựng rác,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,226
"- Bàn là, cầu là",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5,,,,,1,227
- Két an toàn cho 30 % số buồng ngủ,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,3(*),,,x,,,228
- Két an toàn cho 80 % số buồng ngủ,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,4(*),,,,x,,229
- Két an toàn cho 100 % số buồng ngủ,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5(*),,,,,x,230
- Cân sức khỏe,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5(*)",,,,1,x,231
- Giá để hành lý,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,232
- Dép đi trong phòng,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4(*), 5(*)",1,1,1,x,x,233
- Giấy hoặc mút lau giầy,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,234
- Tranh ảnh,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5(*)",,,1,1,x,235
- Rèm cửa sổ,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1, 2(*)",1,x,,,,236
- Rèm cửa sổ đủ chắn sáng,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,237
- Tủ lạnh hoặc minibar,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2(*), 3(*), 4(*),5(*)",1,x,x,x,x,238
"- Minibar có đặt các loại đồ uống, đồ ăn vặt, đồ ăn nhẹ",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2, 3(*), 4(*), 5(*)",,1,x,x,x,239
- Điều hòa không khí,,Khong,khuyen khich,1,,,R,,1,,,"1, 2, 3, 4, 5",1,1,1,1,1,240
- Điều hòa không khí,1,Ap Dung,Bat buoc,x,,,"H, M, F",1,,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,241
- Ti vi,,Khong,khuyen khich,1,,,R,,1,,,"1, 2, 3, 4, 5",1,1,1,1,1,242
- Ti vi,1,Ap Dung,Bat buoc,x,,,"H, M, F",1,,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,243
- Tivi cho phòng khách (áp dụng đối với buồng ngủ hạng đặc biệt - suite),,Khong,Khong,,,,R,,1,,,"4, 5",,,,1,1,244
- Tivi cho phòng khách (áp dụng đối với buồng ngủ hạng đặc biệt - suite),1,Ap Dung,Khong,,,,"H, M, F",1,,1,1,"4(*), 5(*)",,,,x,x,245
- Hướng dẫn sử dụng điện thoại và tivi,,Khong,khuyen khich,1,,,R,,1,,,"1, 2, 3, 4, 5",1,1,1,1,1,246
- Hướng dẫn sử dụng điện thoại và tivi,1,Ap Dung,Bat buoc,x,,,"H, M, F",1,,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,247
- Ấm đun nước siêu tốc,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,248
- Thiết bị phát hiện khói báo cháy (smoke detector),1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,249
- Hệ thống chữa cháy bằng nước tự động(sprinkler),1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,250
- Mắt nhìn gắn trên cửa,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,251
- Chuông gọi cửa,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,252
- Chốt an toàn,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,253
- Sơ đồ hướng dẫn thoát hiểm,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,254
- Ổ khóa từ dùng thẻ,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,255
- Cửa tự động đóng,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,256
- Thảm trải buồng ngủ hoặc sàn gỗ,1,Ap Dung,khuyen khich,1,,,H,1,1,1,1,"3, 4, 5",,,1,1,1,257
b) Phòng vệ sinh trong buồng ngủ,,,,,,,,,,,,,,,,,,258
- Tường bằng vật liệu không thấm nước,1,Ap Dung,Bat buoc,x,,,"H, R, M",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,259
- Sàn lát bằng vật liệu chống trơn,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,260
- Ổ cắm điện an toàn,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,261
- Chậu rửa mặt,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,262
-Gương soi,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2(*), 3(*), 4(*),5(*)",1,x,x,x,x,263
- Gương cầu (Buồng đặc biệt cao cấp),1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5(*),,,,,x,264
- Vòi nước,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,265
- Nước nóng,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,266
- Vòi tắm hoa sen,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,267
- Hệ thống sen cây tắm đứng phun mưa,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5(*)",,,,1,x,268
- Móc treo quần áo,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,269
- Giá để khăn các loại,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,270
- Bồn cầu,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,271
- Vòi nước di động cạnh bồn cầu,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,272
- Giấy vệ sinh,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,273
- Thùng rác có nắp,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,274
- Thiết bị thông gió,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,275
- Đèn trên gương soi,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4(*), 5(*)",1,1,1,x,x,276
- Đèn trần,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,277
- Vật dụng cho một khách:,,,,,,,,,,,,,,,,,,278
+ Cốc,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,279
+ Xà phòng,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,280
+ Dầu gội đầu,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1, 2",1,1,,,,281
+ Dầu gội đầu và dầu xả,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,282
+ Khăn mặt,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,283
+ Khăn tắm,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,284
+ Khăn lau tay,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,285
+ Mũ chụp tóc,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,286
+ Sữa tắm,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,287
+ Tăm bông,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,288
+ Kem đánh răng,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,289
+ Bàn chải đánh răng,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,290
+ Kem dưỡng da,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,291
+ Áo choàng sau tắm,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4(*), 5(*)",,,1,x,x,292
+ Bông tẩy trang,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,293
- Muối tắm,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,294
- Khăn chùi chân,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,295
- Bệ đặt chậu rửa mặt,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,296
- 80 % số buồng có phòng tắm đứng hoặc bồn tắm nằm có rèm che,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,3(*),,,x,,,297
- Điện thoại nối với buồng ngủ,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5(*)",,,1,1,x,298
- 100 % số buồng có phòng tắm đứng hoặc bồn tắm nằm có rèm che,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,4(*),,,,x,,299
- Bồn tắm tạo sóng cho buồng đặc biệt cao cấp,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5,,,,,1,300
"- 100 % số buồng có phòng tắm đứng hoặc bồn tắm nằm có rèm che, trong đó 30 % số buồng có cả 2 loại",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5(*),,,,,x,301
- Dây phơi quần áo,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5,,,,,1,302
- Hệ thống ga và xi phông thoát sàn đảm bảo ngăn mùi hôi,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,303
"2.2.3 Phòng họp, hội thảo, hội nghị",,,,,,,,,,,,,,,,,,304
"- Bàn ghế, micro, đèn điện các loại",,Khong,Bat buoc,x,,,H,1,,,,"3(*), 4(*), 5(*)",,,x,x,x,305
"- Máy chiếu, màn chiếu",,Khong,Bat buoc,x,,,H,1,,,,"3(*), 4(*), 5(*)",,,x,x,x,306
- Trang thiết bị phục vụ họp,,Khong,Bat buoc,x,,,H,1,,,,"3(*), 4(*), 5(*)",,,x,x,x,307
- Trang thiết bị phục vụ hội thảo,,Khong,Khong,,,,H,1,,,,"4(*), 5(*)",,,,x,x,308
- Trang thiết bị phục vụ hội nghị,,Khong,Khong,,,,H,1,,,,"4(*), 5(*)",,,,x,x,309
- Điều hòa không khí,,Khong,Bat buoc,x,,,H,1,,,,"3(*), 4(*), 5(*)",,,x,x,x,310
- Hệ thống thông gió tốt,,Khong,Bat buoc,x,,,H,1,,,,"3(*), 4(*), 5(*)",,,x,x,x,311
- Thảm trải phòng họp,,Khong,khuyen khich,1,,,H,1,,,,"3, 4, 5",,,1,1,1,312
- Thảm trải phòng hội thảo,,Khong,Khong,,,,H,1,,,,"4, 5",,,,1,1,313
- Thảm trải phòng hội nghị,,Khong,Khong,,,,H,1,,,,"4, 5",,,,1,1,314
"- Sơ đồ, biển chỉ dẫn và đèn báo thoát hiểm",,Khong,Bat buoc,x,,,H,1,,,,"3(*), 4(*), 5(*)",,,x,x,x,315
- Hệ thống camera trong phòng họp,,Khong,khuyen khich,1,,,H,1,,,,"3, 4, 5",,,1,1,1,316
- Hệ thống camera trong phòng hội thảo,,Khong,Khong,,,,H,1,,,,"4, 5(*)",,,,1,x,317
- Hệ thống camera trong phòng hội nghị,,Khong,Khong,,,,H,1,,,,"4, 5(*)",,,,1,x,318
- Hệ thống chiếu sáng có tính thẩm mỹ và điều chỉnh được độ sáng,,Khong,Khong,,,,H,1,,,,5(*),,,,,x,319
"2.2.4 Nhà hàng, bar, bếp",,,,,,,,,,,,,,,,,,320
- Bàn ghế,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,321
- Dụng cụ và tủ đựng dụng cụ phục vụ ăn uống,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,322
- Các loại tủ lạnh bảo quản thực phẩm,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,323
"- Trang thiết bị, dụng cụ chế biến món ăn, đồ uống",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,324
"- Trang thiết bị chế biến, phục vụ ăn uống của nhân viên",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5(*)",,,,1,x,325
- Trang thiết bị phục vụ ăn tự chọn,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4(*), 5(*)",,,1,x,x,326
- Trang thiết bị phục vụ ăn tại buồng ngủ,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4(*), 5(*)",,,1,x,x,327
- Trang thiết bị phục vụ tiệc cao cấp,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,328
"- Trang thiết bị, dụng cụ chế biến bánh",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,329
"- Trang thiết bị, dụng cụ chế biến đồ nguội",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,330
"- Mặt bàn soạn chia, sơ chế, chế biến món ăn làm bằng vật liệu không thấm nước",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,331
- Bồn rửa dụng cụ ăn uống,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,332
"- Bồn rửa cho sơ chế, chế biến riêng",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,333
- Dụng cụ và chất tẩy rửa vệ sinh,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,334
"- Thiết bị chắn lọc rác, mỡ",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,335
- Thùng rác có nắp,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,336
- Hệ thống thoát nước chìm,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,337
- Hệ thống hút mùi hoạt động tốt,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,338
- Thông gió tốt,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,339
- Ánh sáng hoặc chiếu sáng tốt,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,340
- Điều hòa không khí cho nhà hàng,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,341
"- Sơ đồ, biển chỉ dẫn và đèn báo thoát hiểm",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,342
- Thảm trải nhà hàng,,Khong,Khong,,,,H,1,,,,5,,,,,1,343
2.2.5 Giặt là,,,,,,,,,,,,,,,,,,344
"- Bàn là, cầu là",1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,345
- Máy giặt,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,346
- Máy sấy,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,347
- Hệ thống thiết bị giặt là hiện đại,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5",,,,1,1,348
"2.3 Hành lang, cầu thang",,,,,,,,,,,,,,,,,,349
"- Sơ đồ, biển chỉ dẫn thoát hiểm",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,350
- Đèn báo thoát hiểm ở hành lang,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,351
"- Các biển chỉ dẫn hướng và chỉ dẫn chức năng (phòng vệ sinh, văn phòng, số tầng, số phòng…)",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,352
- Cửa thoát hiểm chống cháy,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5(*)",,,1,1,x,353
- Thảm trải hành lang khu vực buồng ngủ,,Khong,Khong,,,,H,1,,,,"4, 5",,,,1,1,354
"- Thảm trải hành lang khu vực hội nghị, hội thảo",,Khong,Khong,,,,H,1,,,,"4, 5",,,,1,1,355
- Thảm trải cầu thang khu vực dịch vụ,,Khong,Khong,,,,H,1,,,,"4, 5",,,,1,1,356
"2.4 Thông gió, điều hoà không khí ở các khu vực",,,,,,,,,,,,,,,,,,357
- Đảm bảo thông thoáng,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,358
- Thông gió tự nhiên,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",,,,,,359
- Hệ thống thông gió hoạt động tốt,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,360
- Điều hòa không khí ở các khu vực dịch vụ,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,361
2.5 Hệ thống nước,,,,,,,,,,,,,,,,,,362
"- Cung cấp đủ nước sạch và nước cho chữa cháy, có hệ thống dự trữ nước",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,363
- Có hệ thống thoát nước đảm bảo vệ sinh môi trường,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,364
- Nước được lọc và đảm bảo uống được trực tiếp từ vòi nước,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5,,,,,1,365
2.6 Thang máy,,,,,,,,,,,,,,,,,,366
- Từ bốn tầng trở lên có thang máy (kể cả tầng trệt),1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,2,,1,,,,367
