Chọn loại khách sạn,,Chọn Loại ks,Chọn cấp sao,,"Đánh giá, chấm điểm","Đánh giá, chấm điểm",Yêu cầu đối với loại khách sạn,H,R,M,F,Yêu cầu đối với hạng sao,1,2,3,4,5,
1.5 Khu vực sảnh đón tiếp,,,,,,,,,,,,,,,,,,48
- Có sảnh đón tiếp,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,49
- Diện tích 10 m2,1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,1,1,,,,,50
- Diện tích 10 m2,,Khong,khuyen khich,1,,,F,,,,1,3,,,1,,,51
- Diện tích 20 m2,1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,2,,1,,,,52
- Diện tích 20 m2,,Khong,Khong,,,,F,,,,1,4,,,,1,,53
- Diện tích 35 m2,1,Ap Dung,khuyen khich,1,1,1,"H, R, M",1,1,1,,3,,,1,,,54
- Diện tích 35 m2,,Khong,Khong,,,,F,,,,1,5,,,,,1,55
- Diện tích 60 m2,1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,4,,,,1,,56
- Diện tích 100 m,1,Ap Dung,Khong,,1,,"H, R, M",1,1,1,,5,,,,,1,57
- Phòng vệ sinh sảnh hoặc gần khu vực sảnh,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1(*), 2(*)",x,x,,,,58
- Phòng vệ sinh sảnh hoặc gần khu vực sảnh cho nam và nữ riêng,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"3(*), 4(*)",,,x,x,,59
- Phòng vệ sinh sảnh cho nam và nữ riêng,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5(*),,,,,x,60
- Khu vực hút thuốc riêng,1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,61
"- Phòng vệ sinh cho người khuyết tật đi bằng xe lăn, xe đẩy",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5,,,,,1,62
- Bar sảnh,,Khong,Khong,,,,R,,1,,,"4(*), 5(*)",,,,x,x,63
- Bar sảnh,1,Ap Dung,Khong,,,,"H, M, F",1,,1,1,5(*),,,,,x,64
1.6 Không gian xanh,,,,,,,,,,,,,,,,,,65
- Cây xanh ở các khu vực công cộng,1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"2, 3, 4, 5",,1,1,1,1,66
"- Sân vườn, cây xanh",,Khong,Bat buoc,x,,,R,,1,,,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,67
"- Sân vườn, cây xanh",,Khong,Khong,,,,H,1,,,,5,,,,,,68
1.7 Diện tích buồng ngủ (bao gồm phòng ngủ và phòng vệ sinh),,,,,,,,,,,,,,,,,,69
"- Buồng một giường đơn 12 m2
- Buồng một giường đôi hoặc hai giường đơn 15 m2",1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,1(*),x,,,,,70
"- Buồng một giường đơn 15 m2
- Buồng một giường đôi hoặc hai giường đơn17 m2",1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,2(*),,x,,,,71
"- Buồng một giường đơn 18 m2
- Buồng một giường đôi hoặc hai giường đơn22 m2",1,Ap Dung,Bat buoc,x,1,x,"H, R, M",1,1,1,,3(*),,,x,,,72
"- Buồng một giường đơn 21 m2
- Buồng một giường đôi hoặc hai giường đơn25 m2",1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,4(*),,,,x,,73
